chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	9826636	9826637	0.0378	1:0.5:0.5:0.5	0:0:0.5:0	1:0.5:1:0.5	0.5:0.5:0.5:0	1:0.79:0.71:0.55	0:0:0.4:0	0.78:0.62:0.76:0.75	0.58:0.58:0.33:0	1:0.63:0.63:1	1:1:0.97:1	0.9:1:0.8:0.83	1:1:0.93:1	0.6623	hyper	hyper	328	21.5	9.5
chr1	9826887	9826888	0.0101	0.5:0.5:1:1	0:0:0:0	0.5:0.5:0:1	0.5:0:0:0	0.67:0.44:0.93:0.75	0:0:0:0	0.67:0.4:0:0.76	0.75:0:0:0	0.87:1:0.97:0.63	0.97:1:1:1	0.9:0.97:1:0.6	0.67:1:1:1	0.6974	hyper	hyper	393	18.5	10.75
chr1	9826931	9826932	0.007	0.5:1:0.5:0.5	0:0:0.5:0	0.5:0.5:0.5:0.5	0:0:0.5:0	0.67:0.89:0.64:0.48	0:0:0.75:0	0.67:0.4:0.62:0.69	0:0:0.4:0	0.93:0.9:0.93:1	1:1:0.83:1	0.87:0.97:0.93:1	1:1:1:1	0.4819	hyper	hyper	411	18.5	10.75
chr1	9826988	9826990	0.0177	0:0:0:1	0.5:0.5:0.5:0.5	0:0.5:0:0	0.5:1:0.5:0	0:0:0:0.7	0.58:0.67:0.31:0.55	0:0.48:0:0	0.46:1:0.71:0	1:1:1:0.63	1:0.73:0.93:1	1:0.97:1:1	1:1:0.87:0.97	-0.3506	hypo	hypo	423	19.25	21.5
chr1	9869815	9869880	0.0068	1:0.5:1:0.5	0.5:0:0:0	1:1:0.5:0.5	0:0:0.5:0.5	1:0.67:0.95:0.71	0.75:0:0:0.17	0.73:1:0.55:0.57	0:0:0.57:0.33	1:0.63:0.9:0.87	0.7:1:1:0.8	0.57:1:1:1	1:1:1:0.87	0.6047	hyper	hyper	463	11.5	5
chr1	9880113	9880129	0.007	0.5:0:0.5:0.5	0:0:0:0	1:0:0.5:0.5	0:0:0:0	0.67:0:0.57:0.72	0:0:0:0	0.82:0:0.44:0.69	0.25:0:0:0	0.83:1:1:0.7	1:1:1:1	0.77:1:1:0.83	0.73:1:1:1	0.4901	hyper	hyper	508	19.75	29.25
chr1	9909575	9909576	0.0014	0:0:0:0	0.5:1:0.5:0.5	0:0:0.5:0	0.5:0.5:0.5:0.5	0:0:0:0	0.78:0.9:0.6:0.73	0:0:0.69:0	0.56:0.7:0.57:0.58	1:1:1:1	0.63:0.93:1:0.83	1:1:0.9:1	0.97:0.7:1:1	-0.7513	hypo	hypo	559	13	8.75
chr1	9926567	9926568	0.0182	0:0:0:0	0.5:1:0:1	0:0:0:0.5	0.5:1:0:1	0:0:0:0	0.7:1:0:1	0:0.11:0:0.56	0.6:1:0:1	1:1:1:1	0.97:1:1:1	1:0.97:1:0.97	0.97:1:1:1	-0.675	hypo	hypo	624	21.5	13.25
chr1	9926585	9926586	0.0256	0:0:0:0	0:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0:1:0.98:0	0:0:0:0	1:1:0.78:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.4938	hypo	hypo	626	21.5	13.25
chr1	9926586	9926594	0.0026	0:0:0:0	1:1:1:0	0:0.5:0:0	1:1:1:0.5	0:0:0:0	1:1:0.78:0	0:0.75:0:0	0.8:1:0.98:0.5	1:1:1:1	1:1:1:1	1:0.57:1:1	1:1:1:1	-0.6956	hypo	hypo	627	19.25	9
chr1	9926594	9926595	0.0026	0:0.5:0:0	1:1:1:0.5	0:0:0:0	1:0:1:1	0:0.75:0:0	0.8:1:0.98:0.5	0:0:0:0	1:0:0.91:1	1:0.57:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.6312	hypo	hypo	628	21.5	13.25
chr1	9926595	9926601	0.0014	0:0:0:0	1:0:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:0:0.91:1	0:0:0:0	0.9:1:0.88:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:0.97:1	-0.7283	hypo	hypo	629	19.25	9
chr1	9926601	9926602	2e-04	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.9:1:0.88:1	0:0:0:0	1:1:0.83:1	1:1:1:1	1:1:0.97:1	1:1:1:1	1:1:0.97:1	-0.9438	hypo	hypo	630	21.5	13.25
chr1	9926627	9926653	2e-04	0:0:0:0	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.8:1:0.74:1	0:0:0:0	0.89:0.75:1:1	1:1:1:1	1:1:0.8:1	1:1:1:1	1:0.67:1:1	-0.8848	hypo	hypo	633	19.25	9
chr1	9926653	9926671	0.0014	0:0:0:0	1:1:1:1	0:0:0:0	1:0:1:1	0:0:0:0	0.89:0.75:1:1	0:0:0:0	0.89:0:1:0.67	1:1:1:1	1:0.67:1:1	1:1:1:1	0.97:1:1:0.57	-0.9097	hypo	hypo	634	13.25	16.5
chr1	9926671	9926672	0.0026	0:0:0:0	1:0:1:1	0:0.5:0:0	1:1:0.5:1	0:0:0:0	0.89:0:1:0.67	0:0.52:0:0	0.71:1:0.57:1	1:1:1:1	0.97:1:1:0.57	1:1:1:1	0.5:1:0.97:1	-0.6389	hypo	hypo	635	13.25	16.5
chr1	9926672	9926673	0.0438	0:0.5:0:0	1:1:0.5:1	0:0:0:1	0:1:0.5:1	0:0.52:0:0	0.71:1:0.57:1	0:0:0:0.83	0:0.88:0.5:1	1:1:1:1	0.5:1:0.97:1	1:0.97:1:0.8	1:1:1:1	-0.691	hypo	hypo	636	13.5	17
chr1	9926674	9926682	0.0039	0:0.5:0:0	1:1:0.5:0.5	0:0:0:0	1:0:1:1	0:0.56:0:0	0.91:0.85:0.57:0.33	0:0:0:0	0.84:0:1:1	1:1:1:1	1:1:1:0.9	1:1:1:1	1:1:1:1	-0.5266	hypo	hypo	638	13.5	17
chr1	9926682	9926683	0.007	0:0:0:0	1:0:1:1	0:0:0:0	1:1:1:0	0:0:0:0	0.84:0:1:1	0:0:0:0	0.69:0.85:0.86:0	1:1:1:1	1:1:1:1	1:1:1:1	0.83:0.93:1:1	-0.7111	hypo	hypo	639	13.25	16.5
chr1	9926683	9926684	0.0126	0:0:0:0	1:1:1:0	0.5:0:0:0	1:0.5:0:1	0:0:0:0	0.69:0.85:0.86:0	0.71:0:0:0	0.93:0.62:0:1	1:1:1:1	0.83:0.93:1:1	0.77:1:1:1	1:0.67:1:1	-0.598	hypo	hypo	640	13.5	17
chr1	9926684	9926685	0.0026	0.5:0:0:0	1:0.5:0:1	0:0:0:0	1:1:1:1	0.71:0:0:0	0.93:0.62:0:1	0:0:0:0	0.69:0.92:1:1	0.77:1:1:1	1:0.67:1:1	1:1:1:1	0.5:0.97:1:1	-0.461	hypo	hypo	641	13.25	16.5
chr1	9926685	9926686	0.007	0:0:0:0	1:1:1:1	0:0:0:0	0:0:0.5:1	0:0:0:0	0.69:0.92:1:1	0:0:0:0	0:0:0.5:1	1:1:1:1	0.5:0.97:1:1	1:1:1:1	1:1:0.93:1	-0.903	hypo	hypo	642	13.5	17
chr1	9926687	9926693	0.0026	0:0.5:0:0	0:1:1:1	0:0:0:0	1:1:0.5:1	0:0.44:0:0	0:0.85:1:1	0:0:0:0	0.89:0.88:0.5:1	1:1:1:1	1:0.97:1:1	1:1:1:1	1:1:1:1	-0.6004	hypo	hypo	644	13.5	17
chr1	9926693	9926694	0.0025	0:0:0:0	1:1:0.5:1	0:1:0:0	1:1:0.5:1	0:0:0:0	0.89:0.88:0.5:1	0:0.78:0:0.17	0.8:0.77:0.71:1	1:1:1:1	1:1:1:1	1:0.67:1:1	1:1:0.97:1	-0.816	hypo	hypo	645	13.25	16.5
chr1	9926694	9926701	0.0438	0:1:0:0	1:1:0.5:1	0.5:0:0:0	1:1:0:0.5	0:0.78:0:0.17	0.8:0.77:0.71:1	0.64:0:0:0	0.82:0.94:0:0.67	1:0.67:1:1	1:1:0.97:1	0.87:1:1:1	1:1:1:0.7	-0.5848	hypo	hypo	646	13.5	17
chr1	9926741	9926742	0.0177	1:0:0:0	1:0:1:1	0:0.5:0:0	1:0.5:1:1	0.86:0:0:0	0.89:0:1:1	0:0.7:0:0	0.89:0.62:0.86:1	1:1:1:1	1:1:1:1	1:0.8:1:1	1:0.93:1:1	-0.508	hypo	hypo	653	13.25	16.5
chr1	9926742	9926765	3e-04	0:0.5:0:0	1:0.5:1:1	0:0:0:0	1:1:1:1	0:0.7:0:0	0.89:0.62:0.86:1	0:0:0:0	0.82:1:0.86:0.67	1:0.8:1:1	1:0.93:1:1	1:1:1:1	0.97:0.97:1:0.8	-0.6644	hypo	hypo	654	13.5	17
chr1	9926765	9926775	0.0014	0:0:0:0	1:1:1:1	0:0:0:0	1:0:1:1	0:0:0:0	0.82:1:0.86:0.67	0:0:0.05:0	0.87:0:0.88:0.89	1:1:1:1	0.97:0.97:1:0.8	1:1:1:1	1:1:1:0.97	-0.8365	hypo	hypo	655	13.5	17
chr1	9926775	9926777	0.0014	0:0:0:0	1:0:1:1	0.5:0:0:0	1:1:1:1	0:0:0.05:0	0.87:0:0.88:0.89	0.44:0:0:0	0.79:0.9:0.95:0.93	1:1:1:1	1:1:1:0.97	0.97:1:1:1	1:0.93:1:1	-0.6472	hypo	hypo	656	13.5	37.75
chr1	9926777	9926808	0.0014	0.5:0:0:0	1:1:1:1	0:0:0:0	1:0:1:1	0.44:0:0:0	0.79:0.9:0.95:0.93	0:0:0:0	0.92:0:0.85:0.96	0.97:1:1:1	1:0.93:1:1	1:1:1:1	1:1:1:1	-0.7801	hypo	hypo	657	13.5	37.75
chr1	9926808	9926810	0.0014	0:0:0:0	1:0:1:1	0:0:0:0	1:0.5:1:1	0:0:0:0	0.92:0:0.85:0.96	0:0:0:0	0.92:0.7:0.83:0.75	1:1:1:1	1:1:1:1	1:1:1:1	1:0.8:1:0.9	-0.6847	hypo	hypo	658	13.5	37.75
chr1	9926810	9926826	0.0014	0:0:0:0	1:0.5:1:1	0:0:0:0	1:0:0.5:1	0:0:0:0	0.92:0.7:0.83:0.75	0:0:0:0	0.79:0:0.6:0.89	1:1:1:1	1:0.8:1:0.9	1:1:1:1	0.97:1:0.7:1	-0.7994	hypo	hypo	659	13.5	37.75
chr1	9926826	9926828	0.007	0:0:0:0	1:0:0.5:1	0:0:0:0	1:0:1:0.5	0:0:0:0	0.79:0:0.6:0.89	0:0:0:0	0.97:0:0.89:0.5	1:1:1:1	0.97:1:0.7:1	1:1:1:1	1:1:1:1	-0.5706	hypo	hypo	660	13.5	37.75
chr1	9926828	9926883	0.007	0:0:0:0	1:0:1:0.5	0:0:0:0	1:0:1:0.5	0:0:0:0	0.97:0:0.89:0.5	0:0:0:0	0.74:0:0.83:0.71	1:1:1:1	1:1:1:1	1:1:1:1	0.87:1:1:0.7	-0.5918	hypo	hypo	661	13.5	37.75
chr1	9926883	9926886	0.0014	0:0:0:0	1:0:1:0.5	0:0:0:0	1:1:1:1	0:0:0:0	0.74:0:0.83:0.71	0:0:0:0	1:0.86:1:0.85	1:1:1:1	0.87:1:1:0.7	1:1:1:1	1:0.83:1:0.73	-0.5694	hypo	hypo	662	13.5	37.75
chr1	9926886	9926887	2e-04	0:0:0:0	1:1:1:1	0:0:0:0	0.5:0.5:1:0.5	0:0:0:0	1:0.86:1:0.85	0:0:0.05:0	0.66:0.56:0.89:0.4	1:1:1:1	1:0.83:1:0.73	1:1:1:1	0.97:0.97:1:1	-0.9258	hypo	hypo	663	10	7.75
chr1	9926887	9926892	0.0101	0:0:0:0	0.5:0.5:1:0.5	0:0.5:0:0	0.5:1:1:0	0:0:0.05:0	0.66:0.56:0.89:0.4	0:0.58:0:0	0.67:0.86:1:0	1:1:1:1	0.97:0.97:1:1	1:1:1:1	0.83:0.73:1:1	-0.6155	hypo	hypo	664	25.5	47.75
chr1	9926892	9926895	0.0101	0:0.5:0:0	0.5:1:1:0	0:0:0:0	1:0.5:0.5:1	0:0.58:0:0	0.67:0.86:1:0	0:0:0:0	0.78:0.57:0.5:0.85	1:1:1:1	0.83:0.73:1:1	1:1:1:1	0.83:0.87:1:0.97	-0.4851	hypo	hypo	665	10	7.75
chr1	9926895	9926928	0.0014	0:0:0:0	1:0.5:0.5:1	0:0:0:0	1:1:0:1	0:0:0:0	0.78:0.57:0.5:0.85	0:0:0:0	0.89:0.86:0:0.92	1:1:1:1	0.83:0.87:1:0.97	1:1:1:1	0.97:0.9:1:1	-0.6739	hypo	hypo	666	10	7.75
chr1	9926990	9927032	0.0287	0:0.5:0:0	0.5:0.5:1:1	1:0:0:0.5	1:1:1:0.5	0:0.42:0:0	0.67:0.67:0.86:1	0.87:0:0:0.73	1:1:0.86:0.6	1:1:1:1	0.7:0.87:1:1	0.97:1:1:0.8	1:1:1:0.97	-0.6934	hypo	hypo	669	13.25	5.25
chr1	9927032	9927038	0.0134	1:0:0:0.5	1:1:1:0.5	0:0:0:0.5	1:1:1:0.5	0.87:0:0:0.73	1:1:0.86:0.6	0:0:0:0.64	0.67:1:1:0.4	0.97:1:1:0.8	1:1:1:0.97	1:1:1:0.9	0.7:1:1:1	-0.4658	hypo	hypo	670	13.25	5.25
chr1	9927038	9927045	0.0031	0:0:0:0.5	1:1:1:0.5	0.5:0:0.5:0	1:1:1:0.5	0:0:0:0.64	0.67:1:1:0.4	0.47:0:0.53:0	1:1:0.86:0.6	1:1:1:0.9	0.7:1:1:1	1:1:1:1	1:1:1:0.97	-0.6076	hypo	hypo	671	13.25	5.25
chr1	9927045	9927058	5e-04	0.5:0:0.5:0	1:1:1:0.5	0:0:0:0	1:1:1:1	0.47:0:0.53:0	1:1:0.86:0.6	0:0:0:0	1:0.83:0.86:1	1:1:1:1	1:1:1:0.97	1:1:1:1	1:1:1:1	-0.6143	hypo	hypo	672	13.25	5.25
chr1	9927058	9927065	2e-04	0:0:0:0	1:1:1:1	0:0:0:0	0.5:1:1:1	0:0:0:0	1:0.83:0.86:1	0:0:0:0	0.67:1:1:0.8	1:1:1:1	1:1:1:1	1:1:1:1	0.8:1:1:0.97	-0.9226	hypo	hypo	673	13.25	5.25
chr1	9927065	9927088	0.0039	0:0:0:0	0.5:1:1:1	0.5:0:0:0	0.5:0:1:1	0:0:0:0	0.67:1:1:0.8	0.6:0:0:0	0.67:0:1:1	1:1:1:1	0.8:1:1:0.97	0.97:1:1:1	0.93:1:1:1	-0.8667	hypo	hypo	674	13.25	5.25
chr1	9927088	NA	0.0286	0.5:0:0:0	0.5:0:1:1	NA	NA	0.6:0:0:0	0.67:0:1:1	NA	NA	0.97:1:1:1	0.93:1:1:1	NA	NA	-0.5167	hypo	hypo	675	13.25	5.25
chr1	10597281	10597282	0.0256	1:1:1:1	0:1:0.5:0.5	1:1:1:1	1:1:0.5:0.5	0.69:1:0.95:0.82	0:1:0.67:0.45	1:0.96:0.7:0.86	0.75:1:0.67:0.67	0.93:1:1:0.9	1:1:0.87:1	1:1:0.87:1	0.67:1:0.83:0.97	0.3336	hyper	hyper	806	19.75	6.25
chr1	10598205	10598206	0.0256	1:0.5:1:0	1:1:1:1	0:0.5:1:0.5	1:1:1:1	0.95:0.62:0.94:0	0.93:1:1:0.88	0:0.69:0.94:0.69	0.74:0.83:0.76:0.83	1:1:1:1	1:1:1:1	1:0.77:1:0.93	0.83:1:0.93:1	-0.3264	hypo	hypo	848	26.75	20.25
chr1	10891704	10891705	0.0396	1:1:0:1	1:1:1:1	1:1:1:0	0.5:0.5:0.5:0.5	0.84:0.67:0:0.8	0.92:0.92:1:0.75	0.83:1:0.91:0	0.67:0.62:0.62:0.6	1:0.63:1:0.83	0.97:1:1:0.83	1:1:1:1	0.83:0.5:0.6:0.77	-0.3199	hypo	hypo	991	20	11.5
chr1	10891825	10891826	0.0406	1:1:1:1	0:0:1:0	1:1:1:0	1:0:0:0	0.81:1:0.84:1	0:0:0.8:0	0.77:1:0.73:0	0.92:0:0:0	0.9:1:0.97:1	1:1:0.93:1	0.97:1:0.7:1	1:1:1:1	0.714	hyper	hyper	999	20	11.5
chr1	10990001	10990002	0.0101	0:0:1:0	1:1:1:1	0:0:0:0	1:1:1:0	0:0:0.89:0	0.95:1:1:0.83	0:0:0:0	1:1:1:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.7232	hypo	hypo	1040	15.25	13.5
chr1	10990167	10990178	0.0182	0:0:0:0.5	1:1:1:1	1:0.5:1:0	1:1:1:0.5	0:0:0:0.61	0.85:0.65:0.94:0.71	0.75:0.5:0.92:0	0.88:1:0.97:0.71	1:1:1:0.93	1:0.63:1:0.57	0.8:1:1:1	1:1:1:0.63	-0.6359	hypo	hypo	1067	16.25	24.5
chr1	10990643	10990644	0.0256	1:0:0.5:1	1:1:1:1	0.5:0:0.5:1	1:1:1:1	0.83:0:0.39:0.85	0.83:0.99:0.79:1	0.4:0.27:0.59:0.9	1:0.93:0.77:1	1:1:1:0.97	0.97:1:0.93:1	1:0.67:0.97:1	1:1:1:1	-0.3835	hypo	hypo	1101	19.25	41
chr1	10991005	10991006	0.0287	0.5:0.5:0.5:1	0:0:0:0	1:0.5:1:0.5	1:0:0.5:1	0.62:0.27:0.56:0.88	0:0.22:0:0	1:0.71:0.93:0.67	1:0.05:0.67:0.85	0.93:0.67:1:1	1:0.83:1:1	1:0.97:1:0.67	1:1:0.9:0.83	0.5253	hyper	hyper	1155	41.75	34.25
chr1	11092294	11092295	0.0256	1:1:1:1	0.5:0:1:0	1:1:1:1	0.5:0.5:1:1	0.92:0.7:1:1	0.5:0:0.9:0	0.89:0.86:1:0.86	0.6:0.75:0.85:0.75	1:0.7:1:1	1:1:0.97:1	1:0.87:1:1	0.97:0.7:0.93:0.67	0.5557	hyper	hyper	1203	16.75	13.25
chr1	11106788	11106789	0.0014	0.5:0.5:0:0	1:1:1:0.5	0.5:0.5:0.5:0	1:1:1:1	0.62:0.56:0:0	0.95:0.82:0.75:0.5	0.5:0.72:0.67:0	0.76:0.78:1:1	0.97:1:1:1	1:0.97:0.83:1	1:0.87:0.93:1	1:0.97:1:1	-0.4588	hypo	hypo	1265	20.5	14.25
chr1	11106789	11106790	0.0014	0.5:0.5:0.5:0	1:1:1:1	0.5:0:0:0	1:1:0:1	0.5:0.72:0.67:0	0.76:0.78:1:1	0.5:0:0:0	0.87:0.73:0:1	1:0.87:0.93:1	1:0.97:1:1	1:1:1:1	1:0.87:1:0.97	-0.4116	hypo	hypo	1266	17	12.25
chr1	11106790	11106791	0.0319	0.5:0:0:0	1:1:0:1	0.5:0:0:0	1:1:0:0.5	0.5:0:0:0	0.87:0.73:0:1	0.5:0:0:0	0.85:0.67:0:0.33	1:1:1:1	1:0.87:1:0.97	1:1:1:1	1:0.63:1:0.93	-0.5239	hypo	hypo	1267	20.5	14.25
chr1	11106791	11106799	0.0131	0.5:0:0:0	1:1:0:0.5	0.5:0:0:0.5	1:1:1:1	0.5:0:0:0	0.85:0.67:0:0.33	0.5:0:0:0.76	0.95:0.91:1:1	1:1:1:1	1:0.63:1:0.93	1:1:1:0.57	1:1:1:1	-0.3371	hypo	hypo	1268	17	12.25
chr1	11106799	11106800	0.0014	0.5:0:0:0.5	1:1:1:1	0.5:0.5:0.5:0	0.5:1:1:1	0.5:0:0:0.76	0.95:0.91:1:1	0.5:0.72:0.67:0.02	0.7:0.78:1:1	1:1:1:0.57	1:1:1:1	1:0.63:0.73:1	0.5:0.93:1:1	-0.6504	hypo	hypo	1269	20.5	14.25
chr1	11106800	11106802	0.0131	0.5:0.5:0.5:0	0.5:1:1:1	0:0:0:0	1:1:1:0	0.5:0.72:0.67:0.02	0.7:0.78:1:1	0:0:0:0.02	0.74:1:1:0	1:0.63:0.73:1	0.5:0.93:1:1	1:1:1:1	0.53:1:1:1	-0.3902	hypo	hypo	1270	17	12.25
chr1	11106802	11106803	0.007	0:0:0:0	1:1:1:0	0:0.5:0:0.5	1:1:1:0	0:0:0:0.02	0.74:1:1:0	0:0.56:0.17:0.55	0.79:0.89:1:0	1:1:1:1	0.53:1:1:1	1:1:0.93:1	0.63:1:1:1	-0.6791	hypo	hypo	1271	20.5	14.25
chr1	11106863	11106867	0.0101	0:0:0:0	1:1:1:1	1:0.5:0:0	1:0:1:1	0:0:0:0	0.95:0.78:1:0.76	0.9:0.6:0:0	0.9:0:1:0.93	1:1:1:0.97	1:0.67:1:0.97	0.97:1:1:1	1:1:1:1	-0.872	hypo	hypo	1275	11.75	32.5
chr1	11106874	11106875	0.0242	0:0:0.5:1	1:0:1:1	0.5:0:0.5:0.5	1:1:0:1	0:0:0.5:0.89	0.85:0.06:0.82:0.91	0.62:0:0.73:0.44	0.96:0.87:0:0.95	1:1:1:0.97	0.97:1:0.9:1	0.87:1:0.53:1	1:0.93:1:1	-0.3117	hypo	hypo	1278	11.75	32.5
chr1	11106887	11106888	2e-04	0:0.5:0:0.5	1:1:1:1	0:0.5:0:0	1:1:1:1	0:0.6:0:0.61	0.7:1:0.82:0.85	0:0.75:0:0	0.96:1:0.75:0.93	1:0.97:1:0.9	0.8:1:0.83:1	1:0.83:1:1	1:1:0.87:1	-0.5414	hypo	hypo	1282	11.75	32.5
chr1	11106888	11106904	2e-04	0:0.5:0:0	1:1:1:1	0:0.5:0.5:0.5	1:1:1:1	0:0.75:0:0	0.96:1:0.75:0.93	0:0.4:0.64:0.39	0.8:0.72:0.94:0.96	1:0.83:1:1	1:1:0.87:1	1:1:1:0.9	1:0.7:1:1	-0.7226	hypo	hypo	1283	14	27.5
chr1	11106904	11106905	0.0014	0:0.5:0.5:0.5	1:1:1:1	0.5:0.5:0.5:0.5	1:0.5:1:1	0:0.4:0.64:0.39	0.8:0.72:0.94:0.96	0.62:0.67:0.55:0.28	0.79:0.67:0.75:0.85	1:1:1:0.9	1:0.7:1:1	0.97:0.93:1:0.67	0.93:0.8:0.9:0.97	-0.4979	hypo	hypo	1284	11.75	32.5
