chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9437464	chr21	9437464	F	36	63.89	36.11
chr21.9437470	chr21	9437470	F	37	83.78	16.22
chr21.9437472	chr21	9437472	F	35	60.00	40.00
chr21.9437488	chr21	9437488	F	36	91.67	8.33
chr21.9437516	chr21	9437516	F	32	93.75	6.25
chr21.9437518	chr21	9437518	F	35	82.86	17.14
chr21.9437530	chr21	9437530	F	19	89.47	10.53
chr21.9437532	chr21	9437532	F	19	78.95	21.05
chr21.9437535	chr21	9437535	F	19	89.47	10.53
chr21.9437445	chr21	9437445	R	54	100.00	0.00
chr21.9437459	chr21	9437459	R	54	88.89	11.11
chr21.9437462	chr21	9437462	R	58	75.86	24.14
chr21.9437465	chr21	9437465	R	53	69.81	30.19
chr21.9437471	chr21	9437471	R	57	75.44	24.56
chr21.9437473	chr21	9437473	R	58	75.86	24.14
chr21.9437489	chr21	9437489	R	57	78.95	21.05
chr21.9437517	chr21	9437517	R	54	96.30	3.70
chr21.9437519	chr21	9437519	R	53	81.13	18.87
chr21.9437531	chr21	9437531	R	37	48.65	51.35
chr21.9437533	chr21	9437533	R	29	82.76	17.24
chr21.9437536	chr21	9437536	R	30	96.67	3.33
chr21.9437539	chr21	9437539	R	29	0.00	100.00
chr21.9439599	chr21	9439599	F	19	73.68	26.32
chr21.9439635	chr21	9439635	F	19	84.21	15.79
chr21.9439677	chr21	9439677	F	36	0.00	100.00
chr21.9439684	chr21	9439684	F	37	62.16	37.84
chr21.9439716	chr21	9439716	F	20	95.00	5.00
chr21.9439724	chr21	9439724	F	20	80.00	20.00
chr21.9439636	chr21	9439636	R	12	91.67	8.33
chr21.9439678	chr21	9439678	R	22	81.82	18.18
chr21.9439685	chr21	9439685	R	20	90.00	10.00
chr21.9439717	chr21	9439717	R	12	66.67	33.33
chr21.9439725	chr21	9439725	R	12	83.33	16.67
chr21.9439741	chr21	9439741	R	12	91.67	8.33
chr21.9540174	chr21	9540174	F	20	40.00	60.00
chr21.9540219	chr21	9540219	F	37	56.76	43.24
chr21.9540261	chr21	9540261	F	37	48.65	51.35
chr21.9540084	chr21	9540084	R	12	33.33	66.67
chr21.9540093	chr21	9540093	R	11	45.45	54.55
chr21.9540129	chr21	9540129	R	11	54.55	45.45
chr21.9540220	chr21	9540220	R	32	84.38	15.62
chr21.9540262	chr21	9540262	R	33	72.73	27.27
chr21.9540283	chr21	9540283	R	21	76.19	23.81
chr21.9541149	chr21	9541149	F	76	72.37	27.63
chr21.9541171	chr21	9541171	F	75	73.33	26.67
chr21.9541212	chr21	9541212	F	39	0.00	100.00
chr21.9541150	chr21	9541150	R	38	0.00	100.00
chr21.9541172	chr21	9541172	R	77	72.73	27.27
chr21.9541213	chr21	9541213	R	77	72.73	27.27
chr21.9574704	chr21	9574704	F	91	67.03	32.97
chr21.9574716	chr21	9574716	F	82	52.44	47.56
chr21.9574765	chr21	9574765	F	87	54.02	45.98
chr21.9574773	chr21	9574773	F	43	0.00	100.00
chr21.9574705	chr21	9574705	R	35	0.00	100.00
chr21.9574717	chr21	9574717	R	66	46.97	53.03
chr21.9574766	chr21	9574766	R	65	0.00	100.00
chr21.9574774	chr21	9574774	R	70	68.57	31.43
chr21.9575282	chr21	9575282	F	70	37.14	62.86
chr21.9575331	chr21	9575331	F	66	78.79	21.21
chr21.9575342	chr21	9575342	F	69	56.52	43.48
chr21.9575348	chr21	9575348	F	63	61.90	38.10
chr21.9575356	chr21	9575356	F	59	0.00	100.00
chr21.9575376	chr21	9575376	F	54	70.37	29.63
chr21.9575387	chr21	9575387	F	15	20.00	80.00
chr21.9575420	chr21	9575420	F	65	73.85	26.15
chr21.9575428	chr21	9575428	F	62	61.29	38.71
chr21.9575432	chr21	9575432	F	70	0.00	100.00
chr21.9575476	chr21	9575476	F	70	62.86	37.14
chr21.9575332	chr21	9575332	R	58	72.41	27.59
chr21.9575343	chr21	9575343	R	59	71.19	28.81
chr21.9575349	chr21	9575349	R	59	74.58	25.42
chr21.9575357	chr21	9575357	R	58	0.00	100.00
chr21.9575377	chr21	9575377	R	41	48.78	51.22
chr21.9575421	chr21	9575421	R	62	67.74	32.26
chr21.9575429	chr21	9575429	R	59	62.71	37.29
chr21.9575433	chr21	9575433	R	60	75.00	25.00
chr21.9575477	chr21	9575477	R	63	77.78	22.22
chr21.9575485	chr21	9575485	R	64	62.50	37.50
chr21.9578795	chr21	9578795	R	10	100.00	0.00
chr21.9593701	chr21	9593701	F	77	71.43	28.57
chr21.9593781	chr21	9593781	F	39	0.00	100.00
chr21.9593702	chr21	9593702	R	37	0.00	100.00
chr21.9593782	chr21	9593782	R	70	47.14	52.86
chr21.9647716	chr21	9647716	F	43	72.09	27.91
chr21.9647763	chr21	9647763	F	37	32.43	67.57
chr21.9647766	chr21	9647766	F	16	62.50	37.50
chr21.9647779	chr21	9647779	F	16	56.25	43.75
chr21.9647787	chr21	9647787	F	26	61.54	38.46
chr21.9647867	chr21	9647867	F	16	75.00	25.00
chr21.9647873	chr21	9647873	F	15	73.33	26.67
chr21.9647876	chr21	9647876	F	16	62.50	37.50
chr21.9647717	chr21	9647717	R	25	0.00	100.00
chr21.9647764	chr21	9647764	R	45	37.78	62.22
chr21.9647767	chr21	9647767	R	19	63.16	36.84
chr21.9647780	chr21	9647780	R	19	57.89	42.11
chr21.9647788	chr21	9647788	R	35	77.14	22.86
chr21.9647868	chr21	9647868	R	18	77.78	22.22
chr21.9647874	chr21	9647874	R	18	55.56	44.44
chr21.9647877	chr21	9647877	R	19	52.63	47.37
chr21.9647881	chr21	9647881	R	19	57.89	42.11
chr21.9652926	chr21	9652926	F	24	66.67	33.33
chr21.9652937	chr21	9652937	F	24	54.17	45.83
chr21.9652972	chr21	9652972	F	23	69.57	30.43
chr21.9653025	chr21	9653025	F	38	52.63	47.37
chr21.9652938	chr21	9652938	R	27	66.67	33.33
chr21.9652973	chr21	9652973	R	24	91.67	8.33
chr21.9653026	chr21	9653026	R	26	61.54	38.46
chr21.9653102	chr21	9653102	R	27	85.19	14.81
chr21.9664766	chr21	9664766	R	15	73.33	26.67
chr21.9695485	chr21	9695485	F	43	65.12	34.88
chr21.9695557	chr21	9695557	F	48	66.67	33.33
chr21.9695577	chr21	9695577	F	21	0.00	100.00
chr21.9695558	chr21	9695558	R	22	86.36	13.64
chr21.9695578	chr21	9695578	R	21	76.19	23.81
chr21.9702491	chr21	9702491	F	64	60.94	39.06
chr21.9702509	chr21	9702509	F	66	46.97	53.03
chr21.9702520	chr21	9702520	F	64	64.06	35.94
chr21.9702529	chr21	9702529	F	63	77.78	22.22
chr21.9702575	chr21	9702575	F	28	0.00	100.00
chr21.9704301	chr21	9704301	F	51	64.71	35.29
chr21.9704304	chr21	9704304	F	50	50.00	50.00
chr21.9704321	chr21	9704321	F	51	50.98	49.02
chr21.9704328	chr21	9704328	F	50	78.00	22.00
chr21.9704334	chr21	9704334	F	51	88.24	11.76
chr21.9704357	chr21	9704357	F	49	63.27	36.73
chr21.9704360	chr21	9704360	F	23	0.00	100.00
chr21.9704112	chr21	9704112	R	16	50.00	50.00
chr21.9704138	chr21	9704138	R	17	100.00	0.00
chr21.9704144	chr21	9704144	R	17	76.47	23.53
chr21.9704160	chr21	9704160	R	62	79.03	20.97
chr21.9704165	chr21	9704165	R	59	61.02	38.98
chr21.9704167	chr21	9704167	R	57	59.65	40.35
chr21.9704170	chr21	9704170	R	61	75.41	24.59
chr21.9704235	chr21	9704235	R	61	72.13	27.87
chr21.9704241	chr21	9704241	R	46	71.74	28.26
chr21.9704244	chr21	9704244	R	32	46.88	53.12
chr21.9704364	chr21	9704364	R	13	61.54	38.46
chr21.9704371	chr21	9704371	R	13	53.85	46.15
chr21.9704379	chr21	9704379	R	12	66.67	33.33
chr21.9704385	chr21	9704385	R	12	58.33	41.67
chr21.9704393	chr21	9704393	R	11	72.73	27.27
chr21.9704423	chr21	9704423	R	21	71.43	28.57
chr21.9704431	chr21	9704431	R	20	90.00	10.00
chr21.9704471	chr21	9704471	R	11	81.82	18.18
chr21.9704477	chr21	9704477	R	13	92.31	7.69
chr21.9704509	chr21	9704509	R	12	75.00	25.00
chr21.9704514	chr21	9704514	R	12	100.00	0.00
chr21.9708982	chr21	9708982	F	33	45.45	54.55
chr21.9708995	chr21	9708995	F	32	75.00	25.00
chr21.9709006	chr21	9709006	F	34	79.41	20.59
chr21.9709019	chr21	9709019	F	35	54.29	45.71
chr21.9709034	chr21	9709034	F	34	64.71	35.29
chr21.9709043	chr21	9709043	F	18	0.00	100.00
chr21.9709099	chr21	9709099	F	10	60.00	40.00
chr21.9709116	chr21	9709116	F	10	40.00	60.00
chr21.9709161	chr21	9709161	F	10	60.00	40.00
chr21.9709173	chr21	9709173	F	10	60.00	40.00
chr21.9709106	chr21	9709106	R	10	60.00	40.00
chr21.9709117	chr21	9709117	R	10	100.00	0.00
chr21.9709142	chr21	9709142	R	10	80.00	20.00
chr21.9709162	chr21	9709162	R	10	100.00	0.00
chr21.9717491	chr21	9717491	F	22	0.00	100.00
chr21.9717558	chr21	9717558	F	20	0.00	100.00
chr21.9717661	chr21	9717661	F	20	40.00	60.00
chr21.9717559	chr21	9717559	R	10	60.00	40.00
chr21.9717662	chr21	9717662	R	12	0.00	100.00
chr21.9717696	chr21	9717696	R	12	66.67	33.33
chr21.9718339	chr21	9718339	R	16	0.00	100.00
chr21.9718407	chr21	9718407	R	34	0.00	100.00
chr21.9723265	chr21	9723265	R	19	0.00	100.00
chr21.9723308	chr21	9723308	R	35	0.00	100.00
chr21.9723335	chr21	9723335	R	33	66.67	33.33
chr21.9723394	chr21	9723394	R	19	78.95	21.05
chr21.9825539	chr21	9825539	F	96	84.38	15.62
chr21.9825546	chr21	9825546	F	99	72.73	27.27
chr21.9825550	chr21	9825550	F	98	64.29	35.71
chr21.9825568	chr21	9825568	F	94	60.64	39.36
chr21.9825572	chr21	9825572	F	98	69.39	30.61
chr21.9825575	chr21	9825575	F	97	76.29	23.71
chr21.9825579	chr21	9825579	F	99	46.46	53.54
chr21.9825582	chr21	9825582	F	99	0.00	100.00
chr21.9825600	chr21	9825600	F	101	52.48	47.52
chr21.9825604	chr21	9825604	F	96	64.58	35.42
chr21.9825612	chr21	9825612	F	60	0.00	100.00
chr21.9825620	chr21	9825620	F	12	0.00	100.00
chr21.9825624	chr21	9825624	F	12	0.00	100.00
chr21.9825636	chr21	9825636	F	10	0.00	100.00
chr21.9825646	chr21	9825646	F	12	0.00	100.00
chr21.9825472	chr21	9825472	R	14	71.43	28.57
chr21.9825491	chr21	9825491	R	14	0.00	100.00
chr21.9825496	chr21	9825496	R	14	42.86	57.14
chr21.9825499	chr21	9825499	R	14	100.00	0.00
chr21.9825507	chr21	9825507	R	13	53.85	46.15
chr21.9825515	chr21	9825515	R	13	69.23	30.77
chr21.9825540	chr21	9825540	R	51	0.00	100.00
chr21.9825547	chr21	9825547	R	96	71.88	28.12
chr21.9825551	chr21	9825551	R	106	64.15	35.85
chr21.9825569	chr21	9825569	R	103	0.00	100.00
chr21.9825573	chr21	9825573	R	100	0.00	100.00
chr21.9825576	chr21	9825576	R	104	0.00	100.00
chr21.9825580	chr21	9825580	R	105	0.00	100.00
chr21.9825583	chr21	9825583	R	103	74.76	25.24
chr21.9825601	chr21	9825601	R	106	0.00	100.00
chr21.9825605	chr21	9825605	R	101	88.12	11.88
chr21.9825613	chr21	9825613	R	113	59.29	40.71
chr21.9825621	chr21	9825621	R	20	50.00	50.00
chr21.9825625	chr21	9825625	R	20	60.00	40.00
chr21.9825637	chr21	9825637	R	19	57.89	42.11
chr21.9825647	chr21	9825647	R	17	0.00	100.00
chr21.9825653	chr21	9825653	R	18	0.00	100.00
chr21.9825944	chr21	9825944	F	48	0.00	100.00
chr21.9825950	chr21	9825950	F	49	0.00	100.00
chr21.9825954	chr21	9825954	F	52	61.54	38.46
chr21.9825958	chr21	9825958	F	51	0.00	100.00
chr21.9825960	chr21	9825960	F	49	0.00	100.00
chr21.9825964	chr21	9825964	F	51	78.43	21.57
chr21.9825975	chr21	9825975	F	51	80.39	19.61
chr21.9825980	chr21	9825980	F	49	87.76	12.24
chr21.9825992	chr21	9825992	F	47	0.00	100.00
chr21.9825995	chr21	9825995	F	26	0.00	100.00
chr21.9825787	chr21	9825787	R	10	100.00	0.00
chr21.9825799	chr21	9825799	R	10	0.00	100.00
chr21.9825803	chr21	9825803	R	10	40.00	60.00
chr21.9825945	chr21	9825945	R	45	0.00	100.00
chr21.9825951	chr21	9825951	R	89	61.80	38.20
chr21.9825955	chr21	9825955	R	89	51.69	48.31
chr21.9825959	chr21	9825959	R	91	56.04	43.96
chr21.9825961	chr21	9825961	R	88	0.00	100.00
chr21.9825965	chr21	9825965	R	91	73.63	26.37
chr21.9825976	chr21	9825976	R	91	83.52	16.48
chr21.9825981	chr21	9825981	R	89	2.25	97.75
chr21.9825993	chr21	9825993	R	92	47.83	52.17
chr21.9825996	chr21	9825996	R	86	0.00	100.00
chr21.9826146	chr21	9826146	F	32	71.88	28.12
chr21.9826150	chr21	9826150	F	32	71.88	28.12
chr21.9826153	chr21	9826153	F	31	45.16	54.84
chr21.9826156	chr21	9826156	F	32	0.00	100.00
chr21.9826159	chr21	9826159	F	33	0.00	100.00
chr21.9826170	chr21	9826170	F	29	72.41	27.59
chr21.9826179	chr21	9826179	F	32	0.00	100.00
chr21.9826181	chr21	9826181	F	33	54.55	45.45
chr21.9826186	chr21	9826186	F	33	0.00	100.00
chr21.9826189	chr21	9826189	F	30	80.00	20.00
chr21.9826194	chr21	9826194	F	29	0.00	100.00
chr21.9826198	chr21	9826198	F	31	0.00	100.00
chr21.9826201	chr21	9826201	F	33	51.52	48.48
chr21.9826203	chr21	9826203	F	32	75.00	25.00
chr21.9826205	chr21	9826205	F	33	69.70	30.30
chr21.9826207	chr21	9826207	F	34	76.47	23.53
chr21.9826211	chr21	9826211	F	32	90.62	9.38
chr21.9826215	chr21	9826215	F	34	0.00	100.00
chr21.9826219	chr21	9826219	F	31	0.00	100.00
chr21.9826221	chr21	9826221	F	31	6.45	93.55
chr21.9826226	chr21	9826226	F	16	0.00	100.00
chr21.9826239	chr21	9826239	F	22	72.73	27.27
chr21.9826247	chr21	9826247	F	21	0.00	100.00
chr21.9826251	chr21	9826251	F	22	63.64	36.36
chr21.9826255	chr21	9826255	F	22	100.00	0.00
chr21.9826258	chr21	9826258	F	22	0.00	100.00
chr21.9826265	chr21	9826265	F	22	0.00	100.00
chr21.9826272	chr21	9826272	F	20	0.00	100.00
chr21.9826279	chr21	9826279	F	21	61.90	38.10
chr21.9826147	chr21	9826147	R	17	0.00	100.00
chr21.9826151	chr21	9826151	R	36	0.00	100.00
chr21.9826154	chr21	9826154	R	34	0.00	100.00
chr21.9826157	chr21	9826157	R	34	0.00	100.00
chr21.9826160	chr21	9826160	R	33	87.88	12.12
chr21.9826171	chr21	9826171	R	34	5.88	94.12
chr21.9826180	chr21	9826180	R	34	0.00	100.00
chr21.9826182	chr21	9826182	R	30	83.33	16.67
chr21.9826187	chr21	9826187	R	35	62.86	37.14
chr21.9826190	chr21	9826190	R	34	0.00	100.00
chr21.9826195	chr21	9826195	R	35	0.00	100.00
chr21.9826199	chr21	9826199	R	32	0.00	100.00
chr21.9826202	chr21	9826202	R	33	75.76	24.24
chr21.9826204	chr21	9826204	R	36	88.89	11.11
chr21.9826206	chr21	9826206	R	32	65.62	34.38
chr21.9826208	chr21	9826208	R	36	77.78	22.22
chr21.9826212	chr21	9826212	R	34	82.35	17.65
chr21.9826216	chr21	9826216	R	35	77.14	22.86
chr21.9826220	chr21	9826220	R	36	55.56	44.44
chr21.9826222	chr21	9826222	R	33	84.85	15.15
chr21.9826227	chr21	9826227	R	32	75.00	25.00
chr21.9826240	chr21	9826240	R	16	0.00	100.00
chr21.9826248	chr21	9826248	R	31	54.84	45.16
chr21.9826252	chr21	9826252	R	30	50.00	50.00
chr21.9826256	chr21	9826256	R	32	0.00	100.00
chr21.9826259	chr21	9826259	R	32	0.00	100.00
chr21.9826266	chr21	9826266	R	30	63.33	36.67
chr21.9826273	chr21	9826273	R	29	0.00	100.00
chr21.9826280	chr21	9826280	R	32	50.00	50.00
chr21.9826288	chr21	9826288	R	27	55.56	44.44
chr21.9826577	chr21	9826577	F	38	78.95	21.05
chr21.9826581	chr21	9826581	F	35	54.29	45.71
chr21.9826584	chr21	9826584	F	34	70.59	29.41
chr21.9826590	chr21	9826590	F	37	0.00	100.00
chr21.9826595	chr21	9826595	F	37	0.00	100.00
chr21.9826597	chr21	9826597	F	36	0.00	100.00
chr21.9826602	chr21	9826602	F	36	55.56	44.44
chr21.9826606	chr21	9826606	F	35	0.00	100.00
chr21.9826611	chr21	9826611	F	36	0.00	100.00
chr21.9826614	chr21	9826614	F	35	82.86	17.14
chr21.9826620	chr21	9826620	F	34	0.00	100.00
chr21.9826625	chr21	9826625	F	36	0.00	100.00
chr21.9826628	chr21	9826628	F	37	0.00	100.00
chr21.9826631	chr21	9826631	F	37	54.05	45.95
chr21.9826635	chr21	9826635	F	36	58.33	41.67
chr21.9826637	chr21	9826637	F	37	56.76	43.24
chr21.9826641	chr21	9826641	F	34	52.94	47.06
chr21.9826644	chr21	9826644	F	17	0.00	100.00
chr21.9826688	chr21	9826688	F	18	55.56	44.44
chr21.9826692	chr21	9826692	F	19	42.11	57.89
chr21.9826694	chr21	9826694	F	19	73.68	26.32
chr21.9826699	chr21	9826699	F	19	100.00	0.00
chr21.9826704	chr21	9826704	F	20	0.00	100.00
chr21.9826708	chr21	9826708	F	19	73.68	26.32
chr21.9826716	chr21	9826716	F	17	47.06	52.94
chr21.9826718	chr21	9826718	F	19	68.42	31.58
chr21.9826722	chr21	9826722	F	20	50.00	50.00
chr21.9826726	chr21	9826726	F	19	47.37	52.63
chr21.9826728	chr21	9826728	F	20	100.00	0.00
chr21.9826731	chr21	9826731	F	20	20.00	80.00
chr21.9826739	chr21	9826739	F	18	0.00	100.00
chr21.9826742	chr21	9826742	F	19	73.68	26.32
chr21.9826744	chr21	9826744	F	20	60.00	40.00
chr21.9826755	chr21	9826755	F	19	100.00	0.00
chr21.9826757	chr21	9826757	F	18	38.89	61.11
chr21.9826765	chr21	9826765	F	19	21.05	78.95
chr21.9826777	chr21	9826777	F	10	0.00	100.00
chr21.9826779	chr21	9826779	F	10	0.00	100.00
chr21.9826801	chr21	9826801	F	10	0.00	100.00
chr21.9826840	chr21	9826840	F	30	93.33	6.67
chr21.9826844	chr21	9826844	F	32	43.75	56.25
chr21.9826847	chr21	9826847	F	33	60.61	39.39
chr21.9826853	chr21	9826853	F	35	82.86	17.14
chr21.9826855	chr21	9826855	F	35	77.14	22.86
chr21.9826859	chr21	9826859	F	33	81.82	18.18
chr21.9826863	chr21	9826863	F	33	42.42	57.58
chr21.9826873	chr21	9826873	F	35	5.71	94.29
chr21.9826877	chr21	9826877	F	35	88.57	11.43
chr21.9826881	chr21	9826881	F	35	77.14	22.86
chr21.9826885	chr21	9826885	F	35	82.86	17.14
chr21.9826887	chr21	9826887	F	35	0.00	100.00
chr21.9826892	chr21	9826892	F	33	100.00	0.00
chr21.9826896	chr21	9826896	F	34	88.24	11.76
chr21.9826900	chr21	9826900	F	34	76.47	23.53
chr21.9826904	chr21	9826904	F	34	70.59	29.41
chr21.9826908	chr21	9826908	F	33	0.00	100.00
chr21.9826911	chr21	9826911	F	33	69.70	30.30
chr21.9826920	chr21	9826920	F	35	51.43	48.57
chr21.9826926	chr21	9826926	F	32	0.00	100.00
chr21.9826931	chr21	9826931	F	34	0.00	100.00
chr21.9826934	chr21	9826934	F	13	0.00	100.00
chr21.9826578	chr21	9826578	R	23	0.00	100.00
chr21.9826582	chr21	9826582	R	44	0.00	100.00
chr21.9826585	chr21	9826585	R	40	75.00	25.00
chr21.9826591	chr21	9826591	R	43	60.47	39.53
chr21.9826596	chr21	9826596	R	44	63.64	36.36
chr21.9826598	chr21	9826598	R	45	0.00	100.00
chr21.9826603	chr21	9826603	R	44	65.91	34.09
chr21.9826607	chr21	9826607	R	45	55.56	44.44
chr21.9826612	chr21	9826612	R	44	81.82	18.18
chr21.9826615	chr21	9826615	R	44	0.00	100.00
chr21.9826621	chr21	9826621	R	44	0.00	100.00
chr21.9826626	chr21	9826626	R	44	0.00	100.00
chr21.9826629	chr21	9826629	R	45	73.33	26.67
chr21.9826632	chr21	9826632	R	45	64.44	35.56
chr21.9826636	chr21	9826636	R	41	0.00	100.00
chr21.9826638	chr21	9826638	R	44	54.55	45.45
chr21.9826642	chr21	9826642	R	45	62.22	37.78
chr21.9826645	chr21	9826645	R	43	0.00	100.00
chr21.9826693	chr21	9826693	R	16	50.00	50.00
chr21.9826695	chr21	9826695	R	17	64.71	35.29
chr21.9826700	chr21	9826700	R	17	76.47	23.53
chr21.9826705	chr21	9826705	R	18	55.56	44.44
chr21.9826709	chr21	9826709	R	18	0.00	100.00
chr21.9826717	chr21	9826717	R	16	62.50	37.50
chr21.9826719	chr21	9826719	R	18	66.67	33.33
chr21.9826723	chr21	9826723	R	17	58.82	41.18
chr21.9826727	chr21	9826727	R	16	43.75	56.25
chr21.9826729	chr21	9826729	R	18	88.89	11.11
chr21.9826732	chr21	9826732	R	18	77.78	22.22
chr21.9826740	chr21	9826740	R	16	0.00	100.00
chr21.9826743	chr21	9826743	R	17	0.00	100.00
chr21.9826745	chr21	9826745	R	17	82.35	17.65
chr21.9826756	chr21	9826756	R	17	0.00	100.00
chr21.9826758	chr21	9826758	R	17	70.59	29.41
chr21.9826766	chr21	9826766	R	33	30.30	69.70
chr21.9826773	chr21	9826773	R	28	60.71	39.29
chr21.9826778	chr21	9826778	R	28	0.00	100.00
chr21.9826780	chr21	9826780	R	29	0.00	100.00
chr21.9826789	chr21	9826789	R	30	86.67	13.33
chr21.9826802	chr21	9826802	R	30	0.00	100.00
chr21.9826806	chr21	9826806	R	29	68.97	31.03
chr21.9826841	chr21	9826841	R	18	0.00	100.00
chr21.9826845	chr21	9826845	R	46	41.30	58.70
chr21.9826848	chr21	9826848	R	46	52.17	47.83
chr21.9826854	chr21	9826854	R	46	69.57	30.43
chr21.9826856	chr21	9826856	R	48	77.08	22.92
chr21.9826860	chr21	9826860	R	47	63.83	36.17
chr21.9826864	chr21	9826864	R	46	0.00	100.00
chr21.9826874	chr21	9826874	R	47	55.32	44.68
chr21.9826878	chr21	9826878	R	46	0.00	100.00
chr21.9826882	chr21	9826882	R	48	66.67	33.33
chr21.9826886	chr21	9826886	R	49	0.00	100.00
chr21.9826888	chr21	9826888	R	43	0.00	100.00
chr21.9826893	chr21	9826893	R	44	84.09	15.91
chr21.9826897	chr21	9826897	R	46	91.30	8.70
chr21.9826901	chr21	9826901	R	49	73.47	26.53
chr21.9826905	chr21	9826905	R	46	63.04	36.96
chr21.9826909	chr21	9826909	R	48	66.67	33.33
chr21.9826912	chr21	9826912	R	47	0.00	100.00
chr21.9826921	chr21	9826921	R	46	80.43	19.57
chr21.9826927	chr21	9826927	R	39	71.79	28.21
chr21.9826932	chr21	9826932	R	47	0.00	100.00
chr21.9826935	chr21	9826935	R	40	80.00	20.00
chr21.9827434	chr21	9827434	F	18	50.00	50.00
chr21.9827454	chr21	9827454	F	19	0.00	100.00
chr21.9827483	chr21	9827483	F	18	72.22	27.78
chr21.9827485	chr21	9827485	F	19	0.00	100.00
chr21.9827502	chr21	9827502	F	20	0.00	100.00
