chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9439685	chr21	9439685	R	21	90.48	9.52
chr21.9439717	chr21	9439717	R	12	83.33	16.67
chr21.9439725	chr21	9439725	R	11	100.00	0.00
chr21.9439741	chr21	9439741	R	11	100.00	0.00
chr21.9540078	chr21	9540078	F	11	100.00	0.00
chr21.9540083	chr21	9540083	F	13	84.62	15.38
chr21.9540092	chr21	9540092	F	13	84.62	15.38
chr21.9540118	chr21	9540118	F	15	86.67	13.33
chr21.9540128	chr21	9540128	F	16	12.50	87.50
chr21.9540076	chr21	9540076	R	15	86.67	13.33
chr21.9540079	chr21	9540079	R	14	42.86	57.14
chr21.9540084	chr21	9540084	R	16	56.25	43.75
chr21.9540093	chr21	9540093	R	17	82.35	17.65
chr21.9540119	chr21	9540119	R	18	0.00	100.00
chr21.9540129	chr21	9540129	R	17	0.00	100.00
chr21.9540320	chr21	9540320	F	10	40.00	60.00
chr21.9540324	chr21	9540324	F	10	80.00	20.00
chr21.9540330	chr21	9540330	F	10	0.00	100.00
chr21.9540325	chr21	9540325	R	10	0.00	100.00
chr21.9541149	chr21	9541149	F	44	27.27	72.73
chr21.9541171	chr21	9541171	F	47	82.98	17.02
chr21.9541212	chr21	9541212	F	23	0.00	100.00
chr21.9541150	chr21	9541150	R	33	0.00	100.00
chr21.9541172	chr21	9541172	R	65	43.08	56.92
chr21.9541213	chr21	9541213	R	62	62.90	37.10
chr21.9543419	chr21	9543419	R	24	0.00	100.00
chr21.9543488	chr21	9543488	R	51	64.71	35.29
chr21.9543503	chr21	9543503	R	47	65.96	34.04
chr21.9574704	chr21	9574704	F	98	58.16	41.84
chr21.9574716	chr21	9574716	F	94	0.00	100.00
chr21.9574765	chr21	9574765	F	99	0.00	100.00
chr21.9574773	chr21	9574773	F	44	0.00	100.00
chr21.9574705	chr21	9574705	R	57	0.00	100.00
chr21.9574717	chr21	9574717	R	114	63.16	36.84
chr21.9574766	chr21	9574766	R	106	68.87	31.13
chr21.9574774	chr21	9574774	R	111	58.56	41.44
chr21.9578745	chr21	9578745	F	53	64.15	35.85
chr21.9578749	chr21	9578749	F	52	55.77	44.23
chr21.9578751	chr21	9578751	F	53	45.28	54.72
chr21.9578761	chr21	9578761	F	53	67.92	32.08
chr21.9578794	chr21	9578794	F	93	70.97	29.03
chr21.9578805	chr21	9578805	F	89	1.12	98.88
chr21.9578839	chr21	9578839	F	85	77.65	22.35
chr21.9578850	chr21	9578850	F	51	52.94	47.06
chr21.9578750	chr21	9578750	R	27	55.56	44.44
chr21.9578752	chr21	9578752	R	28	67.86	32.14
chr21.9578762	chr21	9578762	R	27	44.44	55.56
chr21.9578795	chr21	9578795	R	52	80.77	19.23
chr21.9578806	chr21	9578806	R	48	41.67	58.33
chr21.9578840	chr21	9578840	R	49	0.00	100.00
chr21.9578851	chr21	9578851	R	28	71.43	28.57
chr21.9578880	chr21	9578880	R	26	92.31	7.69
chr21.9647716	chr21	9647716	F	81	50.62	49.38
chr21.9647763	chr21	9647763	F	76	26.32	73.68
chr21.9647766	chr21	9647766	F	37	64.86	35.14
chr21.9647779	chr21	9647779	F	37	62.16	37.84
chr21.9647787	chr21	9647787	F	62	48.39	51.61
chr21.9647867	chr21	9647867	F	37	45.95	54.05
chr21.9647873	chr21	9647873	F	34	94.12	5.88
chr21.9647876	chr21	9647876	F	35	42.86	57.14
chr21.9647941	chr21	9647941	F	34	55.88	44.12
chr21.9647974	chr21	9647974	F	33	54.55	45.45
chr21.9647997	chr21	9647997	F	35	37.14	62.86
chr21.9648024	chr21	9648024	F	17	0.00	100.00
chr21.9647717	chr21	9647717	R	23	0.00	100.00
chr21.9647764	chr21	9647764	R	46	73.91	26.09
chr21.9647767	chr21	9647767	R	30	0.00	100.00
chr21.9647780	chr21	9647780	R	31	70.97	29.03
chr21.9647788	chr21	9647788	R	55	80.00	20.00
chr21.9647868	chr21	9647868	R	31	74.19	25.81
chr21.9647874	chr21	9647874	R	29	41.38	58.62
chr21.9647877	chr21	9647877	R	31	77.42	22.58
chr21.9647881	chr21	9647881	R	31	74.19	25.81
chr21.9647942	chr21	9647942	R	15	6.67	93.33
chr21.9647975	chr21	9647975	R	31	77.42	22.58
chr21.9647998	chr21	9647998	R	34	0.00	100.00
chr21.9648025	chr21	9648025	R	32	37.50	62.50
chr21.9652926	chr21	9652926	F	19	52.63	47.37
chr21.9652937	chr21	9652937	F	18	83.33	16.67
chr21.9652972	chr21	9652972	F	18	61.11	38.89
chr21.9653025	chr21	9653025	F	32	68.75	31.25
chr21.9652938	chr21	9652938	R	10	50.00	50.00
chr21.9652973	chr21	9652973	R	10	60.00	40.00
chr21.9653102	chr21	9653102	R	10	50.00	50.00
chr21.9664765	chr21	9664765	F	18	55.56	44.44
chr21.9664679	chr21	9664679	R	13	92.31	7.69
chr21.9664712	chr21	9664712	R	14	42.86	57.14
chr21.9664766	chr21	9664766	R	24	41.67	58.33
chr21.9664822	chr21	9664822	R	14	64.29	35.71
chr21.9695485	chr21	9695485	F	21	71.43	28.57
chr21.9695557	chr21	9695557	F	21	38.10	61.90
chr21.9695577	chr21	9695577	F	11	0.00	100.00
chr21.9695486	chr21	9695486	R	11	0.00	100.00
chr21.9695558	chr21	9695558	R	23	0.00	100.00
chr21.9695578	chr21	9695578	R	17	47.06	52.94
chr21.9701496	chr21	9701496	F	10	80.00	20.00
chr21.9701531	chr21	9701531	F	10	70.00	30.00
chr21.9701652	chr21	9701652	F	10	90.00	10.00
chr21.9701657	chr21	9701657	F	10	50.00	50.00
chr21.9704301	chr21	9704301	F	57	57.89	42.11
chr21.9704304	chr21	9704304	F	61	62.30	37.70
chr21.9704321	chr21	9704321	F	60	56.67	43.33
chr21.9704328	chr21	9704328	F	59	72.88	27.12
chr21.9704334	chr21	9704334	F	59	83.05	16.95
chr21.9704357	chr21	9704357	F	59	52.54	47.46
chr21.9704360	chr21	9704360	F	31	0.00	100.00
chr21.9704094	chr21	9704094	R	10	0.00	100.00
chr21.9704112	chr21	9704112	R	21	76.19	23.81
chr21.9704138	chr21	9704138	R	20	85.00	15.00
chr21.9704144	chr21	9704144	R	20	70.00	30.00
chr21.9709074	chr21	9709074	F	20	0.00	100.00
chr21.9709087	chr21	9709087	F	20	65.00	35.00
chr21.9709099	chr21	9709099	F	29	34.48	65.52
chr21.9709105	chr21	9709105	F	33	0.00	100.00
chr21.9709116	chr21	9709116	F	40	40.00	60.00
chr21.9709132	chr21	9709132	F	36	55.56	44.44
chr21.9709141	chr21	9709141	F	39	64.10	35.90
chr21.9709149	chr21	9709149	F	37	59.46	40.54
chr21.9709161	chr21	9709161	F	35	65.71	34.29
chr21.9709173	chr21	9709173	F	33	60.61	39.39
chr21.9709175	chr21	9709175	F	20	75.00	25.00
chr21.9709088	chr21	9709088	R	18	72.22	27.78
chr21.9709100	chr21	9709100	R	28	57.14	42.86
chr21.9709106	chr21	9709106	R	30	33.33	66.67
chr21.9709117	chr21	9709117	R	34	70.59	29.41
chr21.9709133	chr21	9709133	R	32	62.50	37.50
chr21.9709142	chr21	9709142	R	34	64.71	35.29
chr21.9709150	chr21	9709150	R	34	88.24	11.76
chr21.9709162	chr21	9709162	R	32	84.38	15.62
chr21.9709174	chr21	9709174	R	18	55.56	44.44
chr21.9709176	chr21	9709176	R	17	47.06	52.94
chr21.9709188	chr21	9709188	R	17	76.47	23.53
chr21.9717491	chr21	9717491	F	49	69.39	30.61
chr21.9717558	chr21	9717558	F	47	63.83	36.17
chr21.9717661	chr21	9717661	F	49	57.14	42.86
chr21.9717559	chr21	9717559	R	48	54.17	45.83
chr21.9717662	chr21	9717662	R	53	64.15	35.85
chr21.9717696	chr21	9717696	R	52	1.92	98.08
chr21.9718339	chr21	9718339	R	21	0.00	100.00
chr21.9718407	chr21	9718407	R	40	45.00	55.00
chr21.9723308	chr21	9723308	R	11	0.00	100.00
chr21.9723335	chr21	9723335	R	10	40.00	60.00
chr21.9825471	chr21	9825471	F	10	0.00	100.00
chr21.9825490	chr21	9825490	F	10	0.00	100.00
chr21.9825495	chr21	9825495	F	10	80.00	20.00
chr21.9825498	chr21	9825498	F	10	0.00	100.00
chr21.9825612	chr21	9825612	F	40	0.00	100.00
chr21.9825620	chr21	9825620	F	45	68.89	31.11
chr21.9825624	chr21	9825624	F	44	75.00	25.00
chr21.9825636	chr21	9825636	F	45	60.00	40.00
chr21.9825646	chr21	9825646	F	45	62.22	37.78
chr21.9825652	chr21	9825652	F	21	0.00	100.00
chr21.9825613	chr21	9825613	R	20	0.00	100.00
chr21.9825621	chr21	9825621	R	39	84.62	15.38
chr21.9825625	chr21	9825625	R	40	90.00	10.00
chr21.9825637	chr21	9825637	R	37	56.76	43.24
chr21.9825647	chr21	9825647	R	38	89.47	10.53
chr21.9825653	chr21	9825653	R	37	0.00	100.00
chr21.9825779	chr21	9825779	F	41	46.34	53.66
chr21.9825786	chr21	9825786	F	41	0.00	100.00
chr21.9825793	chr21	9825793	F	42	52.38	47.62
chr21.9825796	chr21	9825796	F	40	0.00	100.00
chr21.9825798	chr21	9825798	F	41	0.00	100.00
chr21.9825802	chr21	9825802	F	40	80.00	20.00
chr21.9825814	chr21	9825814	F	41	51.22	48.78
chr21.9825820	chr21	9825820	F	21	0.00	100.00
chr21.9825944	chr21	9825944	F	24	33.33	66.67
chr21.9825950	chr21	9825950	F	24	58.33	41.67
chr21.9825954	chr21	9825954	F	23	0.00	100.00
chr21.9825958	chr21	9825958	F	24	83.33	16.67
chr21.9825960	chr21	9825960	F	24	0.00	100.00
chr21.9825964	chr21	9825964	F	23	0.00	100.00
chr21.9825975	chr21	9825975	F	21	90.48	9.52
chr21.9825980	chr21	9825980	F	24	50.00	50.00
chr21.9825992	chr21	9825992	F	21	42.86	57.14
chr21.9825995	chr21	9825995	F	11	0.00	100.00
chr21.9825780	chr21	9825780	R	15	0.00	100.00
chr21.9825787	chr21	9825787	R	30	73.33	26.67
chr21.9825794	chr21	9825794	R	30	66.67	33.33
chr21.9825797	chr21	9825797	R	27	0.00	100.00
chr21.9825799	chr21	9825799	R	29	27.59	72.41
chr21.9825803	chr21	9825803	R	30	53.33	46.67
chr21.9825815	chr21	9825815	R	30	53.33	46.67
chr21.9825821	chr21	9825821	R	30	66.67	33.33
chr21.9825945	chr21	9825945	R	18	0.00	100.00
chr21.9825951	chr21	9825951	R	40	40.00	60.00
chr21.9825955	chr21	9825955	R	38	47.37	52.63
chr21.9825959	chr21	9825959	R	39	5.13	94.87
chr21.9825961	chr21	9825961	R	37	54.05	45.95
chr21.9825965	chr21	9825965	R	38	0.00	100.00
chr21.9825976	chr21	9825976	R	40	0.00	100.00
chr21.9825981	chr21	9825981	R	39	0.00	100.00
chr21.9825993	chr21	9825993	R	39	0.00	100.00
chr21.9825996	chr21	9825996	R	39	0.00	100.00
chr21.9826146	chr21	9826146	F	17	70.59	29.41
chr21.9826150	chr21	9826150	F	19	78.95	21.05
chr21.9826153	chr21	9826153	F	17	0.00	100.00
chr21.9826156	chr21	9826156	F	18	50.00	50.00
chr21.9826159	chr21	9826159	F	18	50.00	50.00
chr21.9826170	chr21	9826170	F	20	40.00	60.00
chr21.9826179	chr21	9826179	F	20	90.00	10.00
chr21.9826181	chr21	9826181	F	20	80.00	20.00
chr21.9826186	chr21	9826186	F	20	0.00	100.00
chr21.9826189	chr21	9826189	F	20	90.00	10.00
chr21.9826194	chr21	9826194	F	19	0.00	100.00
chr21.9826198	chr21	9826198	F	19	0.00	100.00
chr21.9826201	chr21	9826201	F	17	52.94	47.06
chr21.9826203	chr21	9826203	F	18	61.11	38.89
chr21.9826205	chr21	9826205	F	19	0.00	100.00
chr21.9826207	chr21	9826207	F	20	0.00	100.00
chr21.9826211	chr21	9826211	F	20	70.00	30.00
chr21.9826215	chr21	9826215	F	17	94.12	5.88
chr21.9826219	chr21	9826219	F	18	0.00	100.00
chr21.9826221	chr21	9826221	F	19	52.63	47.37
chr21.9826239	chr21	9826239	F	54	0.00	100.00
chr21.9826247	chr21	9826247	F	54	74.07	25.93
chr21.9826251	chr21	9826251	F	53	3.77	96.23
chr21.9826255	chr21	9826255	F	52	0.00	100.00
chr21.9826258	chr21	9826258	F	56	0.00	100.00
chr21.9826265	chr21	9826265	F	56	0.00	100.00
chr21.9826272	chr21	9826272	F	52	34.62	65.38
chr21.9826279	chr21	9826279	F	54	50.00	50.00
chr21.9826287	chr21	9826287	F	26	0.00	100.00
chr21.9826386	chr21	9826386	F	22	63.64	36.36
chr21.9826392	chr21	9826392	F	22	27.27	72.73
chr21.9826396	chr21	9826396	F	20	0.00	100.00
chr21.9826411	chr21	9826411	F	21	0.00	100.00
chr21.9826414	chr21	9826414	F	20	0.00	100.00
chr21.9826421	chr21	9826421	F	22	72.73	27.27
chr21.9826436	chr21	9826436	F	22	45.45	54.55
chr21.9826440	chr21	9826440	F	21	0.00	100.00
chr21.9826442	chr21	9826442	F	19	68.42	31.58
chr21.9826446	chr21	9826446	F	21	38.10	61.90
chr21.9826147	chr21	9826147	R	10	0.00	100.00
chr21.9826151	chr21	9826151	R	19	89.47	10.53
chr21.9826154	chr21	9826154	R	21	95.24	4.76
chr21.9826157	chr21	9826157	R	21	57.14	42.86
chr21.9826160	chr21	9826160	R	20	55.00	45.00
chr21.9826171	chr21	9826171	R	21	0.00	100.00
chr21.9826180	chr21	9826180	R	19	0.00	100.00
chr21.9826182	chr21	9826182	R	18	77.78	22.22
chr21.9826187	chr21	9826187	R	21	57.14	42.86
chr21.9826190	chr21	9826190	R	19	42.11	57.89
chr21.9826195	chr21	9826195	R	20	55.00	45.00
chr21.9826199	chr21	9826199	R	22	72.73	27.27
chr21.9826202	chr21	9826202	R	22	72.73	27.27
chr21.9826204	chr21	9826204	R	21	42.86	57.14
chr21.9826206	chr21	9826206	R	21	85.71	14.29
chr21.9826208	chr21	9826208	R	20	0.00	100.00
chr21.9826212	chr21	9826212	R	21	57.14	42.86
chr21.9826216	chr21	9826216	R	20	0.00	100.00
chr21.9826220	chr21	9826220	R	20	80.00	20.00
chr21.9826222	chr21	9826222	R	22	0.00	100.00
chr21.9826227	chr21	9826227	R	21	0.00	100.00
chr21.9826240	chr21	9826240	R	33	0.00	100.00
chr21.9826248	chr21	9826248	R	69	72.46	27.54
chr21.9826252	chr21	9826252	R	70	0.00	100.00
chr21.9826256	chr21	9826256	R	70	31.43	68.57
chr21.9826259	chr21	9826259	R	71	57.75	42.25
chr21.9826266	chr21	9826266	R	68	69.12	30.88
chr21.9826273	chr21	9826273	R	70	64.29	35.71
chr21.9826280	chr21	9826280	R	68	0.00	100.00
chr21.9826288	chr21	9826288	R	69	0.00	100.00
chr21.9826387	chr21	9826387	R	12	0.00	100.00
chr21.9826393	chr21	9826393	R	23	47.83	52.17
chr21.9826397	chr21	9826397	R	23	0.00	100.00
chr21.9826412	chr21	9826412	R	23	0.00	100.00
chr21.9826415	chr21	9826415	R	23	34.78	65.22
chr21.9826422	chr21	9826422	R	23	8.70	91.30
chr21.9826437	chr21	9826437	R	24	41.67	58.33
chr21.9826441	chr21	9826441	R	22	9.09	90.91
chr21.9826443	chr21	9826443	R	22	68.18	31.82
chr21.9826447	chr21	9826447	R	22	0.00	100.00
chr21.9826450	chr21	9826450	R	22	81.82	18.18
chr21.9826688	chr21	9826688	F	18	38.89	61.11
chr21.9826692	chr21	9826692	F	19	73.68	26.32
chr21.9826694	chr21	9826694	F	20	70.00	30.00
chr21.9826699	chr21	9826699	F	19	0.00	100.00
chr21.9826704	chr21	9826704	F	20	0.00	100.00
chr21.9826708	chr21	9826708	F	18	72.22	27.78
chr21.9826716	chr21	9826716	F	19	0.00	100.00
chr21.9826718	chr21	9826718	F	19	42.11	57.89
chr21.9826722	chr21	9826722	F	19	0.00	100.00
chr21.9826726	chr21	9826726	F	20	0.00	100.00
chr21.9826728	chr21	9826728	F	18	33.33	66.67
chr21.9826731	chr21	9826731	F	20	40.00	60.00
chr21.9826739	chr21	9826739	F	20	50.00	50.00
chr21.9826742	chr21	9826742	F	20	70.00	30.00
chr21.9826744	chr21	9826744	F	19	84.21	15.79
chr21.9826755	chr21	9826755	F	19	57.89	42.11
chr21.9826757	chr21	9826757	F	17	88.24	11.76
chr21.9826765	chr21	9826765	F	10	20.00	80.00
chr21.9826970	chr21	9826970	F	22	59.09	40.91
chr21.9826974	chr21	9826974	F	22	63.64	36.36
chr21.9826976	chr21	9826976	F	22	77.27	22.73
chr21.9826979	chr21	9826979	F	28	42.86	57.14
chr21.9826987	chr21	9826987	F	40	37.50	62.50
chr21.9826990	chr21	9826990	F	40	0.00	100.00
chr21.9826992	chr21	9826992	F	40	40.00	60.00
chr21.9827069	chr21	9827069	F	37	72.97	27.03
chr21.9827073	chr21	9827073	F	22	59.09	40.91
chr21.9827282	chr21	9827282	F	22	59.09	40.91
chr21.9827285	chr21	9827285	F	23	56.52	43.48
chr21.9827310	chr21	9827310	F	21	61.90	38.10
chr21.9827319	chr21	9827319	F	22	68.18	31.82
chr21.9827323	chr21	9827323	F	22	59.09	40.91
chr21.9827330	chr21	9827330	F	23	60.87	39.13
chr21.9827335	chr21	9827335	F	22	68.18	31.82
chr21.9827338	chr21	9827338	F	38	0.00	100.00
chr21.9827341	chr21	9827341	F	42	0.00	100.00
chr21.9827350	chr21	9827350	F	43	0.00	100.00
chr21.9827354	chr21	9827354	F	39	58.97	41.03
chr21.9827373	chr21	9827373	F	37	48.65	51.35
chr21.9827383	chr21	9827383	F	21	61.90	38.10
chr21.9827386	chr21	9827386	F	22	0.00	100.00
chr21.9827406	chr21	9827406	F	22	0.00	100.00
chr21.9827413	chr21	9827413	F	19	57.89	42.11
chr21.9827428	chr21	9827428	F	23	86.96	13.04
chr21.9827434	chr21	9827434	F	30	66.67	33.33
chr21.9827454	chr21	9827454	F	30	53.33	46.67
chr21.9827483	chr21	9827483	F	30	63.33	36.67
chr21.9827485	chr21	9827485	F	31	0.00	100.00
chr21.9827502	chr21	9827502	F	31	67.74	32.26
chr21.9827507	chr21	9827507	F	13	7.69	92.31
chr21.9826689	chr21	9826689	R	14	0.00	100.00
chr21.9826693	chr21	9826693	R	28	92.86	7.14
chr21.9826695	chr21	9826695	R	27	0.00	100.00
chr21.9826700	chr21	9826700	R	27	0.00	100.00
chr21.9826705	chr21	9826705	R	26	69.23	30.77
chr21.9826709	chr21	9826709	R	28	42.86	57.14
chr21.9826717	chr21	9826717	R	26	76.92	23.08
chr21.9826719	chr21	9826719	R	28	78.57	21.43
chr21.9826723	chr21	9826723	R	27	48.15	51.85
chr21.9826727	chr21	9826727	R	25	64.00	36.00
chr21.9826729	chr21	9826729	R	28	28.57	71.43
chr21.9826732	chr21	9826732	R	28	0.00	100.00
chr21.9826740	chr21	9826740	R	26	65.38	34.62
chr21.9826743	chr21	9826743	R	26	0.00	100.00
chr21.9826745	chr21	9826745	R	27	85.19	14.81
chr21.9826756	chr21	9826756	R	25	68.00	32.00
chr21.9826758	chr21	9826758	R	26	61.54	38.46
chr21.9826766	chr21	9826766	R	29	0.00	100.00
chr21.9826975	chr21	9826975	R	22	68.18	31.82
chr21.9826977	chr21	9826977	R	21	0.00	100.00
chr21.9826980	chr21	9826980	R	26	0.00	100.00
chr21.9826988	chr21	9826988	R	43	55.81	44.19
chr21.9826991	chr21	9826991	R	40	75.00	25.00
chr21.9826993	chr21	9826993	R	39	0.00	100.00
chr21.9827070	chr21	9827070	R	21	0.00	100.00
chr21.9827074	chr21	9827074	R	19	52.63	47.37
chr21.9827078	chr21	9827078	R	22	81.82	18.18
chr21.9827286	chr21	9827286	R	27	0.00	100.00
chr21.9827311	chr21	9827311	R	26	0.00	100.00
chr21.9827320	chr21	9827320	R	26	0.00	100.00
chr21.9827324	chr21	9827324	R	24	0.00	100.00
chr21.9827331	chr21	9827331	R	24	0.00	100.00
chr21.9827336	chr21	9827336	R	42	0.00	100.00
chr21.9827339	chr21	9827339	R	48	47.92	52.08
chr21.9827342	chr21	9827342	R	49	0.00	100.00
chr21.9827351	chr21	9827351	R	47	2.13	97.87
chr21.9827355	chr21	9827355	R	49	0.00	100.00
chr21.9827374	chr21	9827374	R	48	70.83	29.17
chr21.9827384	chr21	9827384	R	26	76.92	23.08
chr21.9827387	chr21	9827387	R	24	0.00	100.00
chr21.9827407	chr21	9827407	R	26	0.00	100.00
chr21.9827414	chr21	9827414	R	27	74.07	25.93
chr21.9827429	chr21	9827429	R	27	77.78	22.22
chr21.9827435	chr21	9827435	R	39	58.97	41.03
chr21.9827455	chr21	9827455	R	23	47.83	52.17
chr21.9827484	chr21	9827484	R	23	0.00	100.00
chr21.9827486	chr21	9827486	R	23	0.00	100.00
chr21.9827503	chr21	9827503	R	24	0.00	100.00
chr21.9827508	chr21	9827508	R	22	0.00	100.00
chr21.9829442	chr21	9829442	F	116	0.00	100.00
chr21.9829457	chr21	9829457	F	119	0.00	100.00
chr21.9829537	chr21	9829537	F	46	2.17	97.83
chr21.9829443	chr21	9829443	R	55	1.82	98.18
chr21.9829458	chr21	9829458	R	129	0.00	100.00
chr21.9829538	chr21	9829538	R	112	55.36	44.64
chr21.9869241	chr21	9869241	R	15	0.00	100.00
chr21.9869296	chr21	9869296	R	31	70.97	29.03
chr21.9869880	chr21	9869880	F	11	36.36	63.64
chr21.9869881	chr21	9869881	R	11	72.73	27.27
chr21.9876832	chr21	9876832	F	16	56.25	43.75
chr21.9876837	chr21	9876837	F	16	0.00	100.00
chr21.9876842	chr21	9876842	F	16	50.00	50.00
chr21.9876890	chr21	9876890	F	15	80.00	20.00
chr21.9876903	chr21	9876903	F	29	48.28	51.72
chr21.9876905	chr21	9876905	F	25	0.00	100.00
chr21.9876938	chr21	9876938	F	16	50.00	50.00
chr21.9876962	chr21	9876962	F	16	0.00	100.00
chr21.9876981	chr21	9876981	F	16	0.00	100.00
chr21.9876838	chr21	9876838	R	18	72.22	27.78
chr21.9876843	chr21	9876843	R	18	50.00	50.00
chr21.9876891	chr21	9876891	R	17	70.59	29.41
chr21.9876904	chr21	9876904	R	28	71.43	28.57
chr21.9876906	chr21	9876906	R	30	56.67	43.33
chr21.9876939	chr21	9876939	R	18	0.00	100.00
chr21.9876963	chr21	9876963	R	18	72.22	27.78
chr21.9876982	chr21	9876982	R	18	66.67	33.33
chr21.9876999	chr21	9876999	R	18	0.00	100.00
chr21.9880072	chr21	9880072	F	45	77.78	22.22
chr21.9880095	chr21	9880095	F	45	0.00	100.00
chr21.9880112	chr21	9880112	F	45	66.67	33.33
chr21.9880129	chr21	9880129	F	37	0.00	100.00
chr21.9880144	chr21	9880144	F	80	0.00	100.00
