chr	start	end	CpG	test1_DMRfinder-N	test1_DMRfinder-X	test2_DMRfinder-N	test2_DMRfinder-X	test3_DMRfinder-N	test3_DMRfinder-X	test4_DMRfinder-N	test4_DMRfinder-X	control1_DMRfinder-N	control1_DMRfinder-X	control2_DMRfinder-N	control2_DMRfinder-X	control3_DMRfinder-N	control3_DMRfinder-X	control4_DMRfinder-N	control4_DMRfinder-X
chr21	9439599	9439740	7	108	99	60	37	84	50	24	21	NA	NA	192	140	48	27	144	118
chr21	9540072	9540372	15	524	289	281	127	214	98	705	385	459	279	213	123	120	63	169	77
chr21	9540739	9540791	5	40	16	75	42	120	59	200	98	115	63	NA	NA	45	19	NA	NA
chr21	9541149	9541212	3	30	11	NA	NA	273	109	69	29	30	8	243	117	90	42	174	62
chr21	9543418	9543502	3	NA	NA	NA	NA	192	79	27	11	66	17	NA	NA	51	21	78	34
chr21	9574704	9574773	4	92	33	100	52	280	141	40	15	104	40	332	123	36	19	444	142
chr21	9575282	9575484	12	111	68	569	347	100	58	NA	NA	20	14	1352	747	171	107	79	46
chr21	9578745	9578879	9	64	38	40	23	256	157	312	188	40	29	48	36	536	312	648	361
chr21	9647716	9648024	13	290	143	499	142	21	13	112	35	318	166	357	193	228	105	754	371
chr21	9652926	9653101	5	128	71	56	40	24	17	128	83	28	17	204	140	148	72	116	73
chr21	9664671	9664821	5	112	65	288	188	208	104	112	66	120	77	44	21	92	44	92	56
chr21	9695485	9695577	3	24	13	125	54	NA	NA	30	12	186	86	108	50	48	23	69	18
chr21	9701496	9701693	9	40	24	600	347	32	15	120	83	80	48	64	34	80	45	152	107
chr21	9702329	9702575	14	82	46	374	219	381	214	585	342	295	161	251	133	880	501	51	26
chr21	9704093	9704513	29	217	107	288	162	326	174	100	65	628	318	592	386	193	114	308	165
chr21	9708982	9709187	18	622	118	296	57	1069	195	1719	316	476	276	218	120	119	61	430	241
chr21	9723264	9723393	4	132	38	88	30	48	0	40	15	NA	NA	76	28	NA	NA	24	12
chr21	9825467	9825652	23	1071	355	661	248	234	89	2237	775	1140	454	1328	547	1109	366	307	139
chr21	9825779	9825995	29	830	355	1005	320	745	267	1346	360	988	378	824	292	354	153	685	205
chr21	9826146	9826449	41	646	209	825	292	1200	460	1205	488	726	234	1011	387	1573	564	1270	409
chr21	9826577	9826992	71	756	278	2904	1099	3057	1311	3672	1386	2500	943	2205	956	1478	501	923	365
chr21	9827069	9827507	36	1993	597	536	218	1193	424	798	290	2418	877	175	49	607	235	1218	428
chr21	9829442	9829537	3	NA	NA	41	5	108	39	352	121	280	99	33	15	101	28	399	41
chr21	9869815	9869929	3	42	25	20	13	90	33	36	9	24	9	NA	NA	40	17	26	12
chr21	9876832	9877226	19	97	37	233	133	264	133	1155	458	360	157	407	162	72	28	386	157
chr21	9879239	9879433	7	96	43	474	222	102	51	228	95	66	21	90	48	336	140	NA	NA
chr21	9880072	9880332	15	282	107	162	57	322	139	1214	456	150	71	1145	474	1247	449	902	281
chr21	9882048	9882246	17	464	159	228	59	295	104	1112	464	410	142	439	159	569	228	93	13
chr21	9908338	9908475	4	69	31	NA	NA	NA	NA	39	16	42	21	NA	NA	21	5	24	9
chr21	9909491	9909697	15	778	219	208	50	369	57	139	35	346	118	274	90	166	57	321	72
chr21	9910350	9910627	9	358	183	444	180	235	89	70	28	412	198	348	221	208	75	230	101
chr21	9913589	9913936	13	620	376	608	469	388	285	468	345	528	446	348	273	496	366	136	70
chr21	9925836	9926152	17	221	175	988	869	375	308	933	769	786	607	656	512	325	245	333	273
chr21	9926563	9926827	24	629	94	801	131	985	29	372	21	1674	1197	509	294	1382	1020	469	340
chr21	9926882	9927095	14	370	78	347	17	330	10	476	15	250	169	202	143	356	230	282	175
chr21	9963396	9963570	4	31	15	23	0	50	32	32	12	352	128	NA	NA	27	11	59	29
chr21	9968239	9968723	36	878	353	1044	478	492	181	812	338	584	234	1234	559	1024	346	1166	494
chr21	10137563	10137644	3	153	16	69	16	39	11	93	20	21	5	NA	NA	33	10	30	11
chr21	10201250	10201296	3	60	34	NA	NA	33	18	NA	NA	30	14	276	101	87	36	NA	NA
chr21	10371790	10371863	3	33	18	75	0	27	15	93	57	75	45	36	23	54	34	57	27
chr21	10395276	10395412	6	690	418	25	18	NA	NA	270	141	570	325	420	322	NA	NA	NA	NA
chr21	10421834	10421966	5	200	153	20	18	NA	NA	196	130	20	15	148	87	20	15	28	26
chr21	10428163	10428352	3	NA	NA	22	19	27	26	57	42	30	23	52	26	68	43	49	34
chr21	10491755	10491963	5	221	128	60	46	77	44	289	182	141	97	30	22	158	129	174	115
chr21	10572181	10572311	4	132	108	88	34	NA	NA	184	156	44	26	80	34	48	32	152	88
chr21	10582794	10582995	7	74	49	421	357	594	490	76	51	36	27	NA	NA	351	256	35	30
chr21	10596707	10596888	11	99	66	190	114	349	217	192	106	122	56	217	120	166	106	276	195
chr21	10597191	10597318	13	744	488	468	276	480	316	300	202	264	185	60	44	216	120	276	161
chr21	10597878	10598137	13	190	152	98	72	275	211	466	297	417	226	210	145	1365	1106	496	369
chr21	10598176	10598396	21	1934	1221	1460	996	815	577	582	414	1388	911	763	512	737	513	629	466
chr21	10599507	10599597	4	36	17	84	34	601	330	140	86	36	25	148	51	295	193	32	18
chr21	10600469	10600677	13	59	35	83	68	92	65	NA	NA	95	69	330	211	142	109	955	569
chr21	10601647	10601747	8	406	322	217	168	84	49	322	193	NA	NA	413	275	217	146	315	251
chr21	10602281	10602525	18	810	580	594	364	366	232	48	33	294	175	216	165	1014	648	564	421
chr21	10742601	10742667	3	33	15	111	23	267	134	147	83	177	91	228	135	72	38	39	19
chr21	10772506	10772710	9	28	18	43	23	278	170	35	26	95	67	136	79	169	124	193	129
chr21	10884733	10885120	47	986	660	1577	967	1805	1199	2662	1772	1073	680	1597	986	562	374	747	553
chr21	10889474	10889575	3	80	74	80	70	NA	NA	NA	NA	NA	NA	40	13	42	35	96	68
chr21	10891672	10891874	11	705	456	45	39	272	165	297	179	219	160	181	111	162	118	205	147
chr21	10895711	10895758	4	92	25	40	4	32	8	516	117	24	8	NA	NA	36	7	NA	NA
chr21	10922634	10922791	3	106	37	110	78	NA	NA	NA	NA	NA	NA	48	39	NA	NA	NA	NA
chr21	10937345	10937536	4	95	80	39	35	52	41	110	43	120	94	83	59	211	159	53	37
chr21	10937669	10937778	5	246	149	117	43	236	147	78	54	204	164	229	186	101	50	124	66
chr21	10945611	10945762	4	135	78	54	43	84	50	306	266	66	63	24	13	255	207	NA	NA
chr21	10972523	10972591	3	NA	NA	174	98	51	15	27	13	63	28	60	18	144	86	261	147
chr21	10989962	10990328	35	976	621	742	537	1644	1162	1128	739	944	612	632	434	1274	872	496	323
chr21	10990486	10990828	32	1148	717	1178	695	943	643	1356	908	993	679	2430	1793	1937	1490	297	168
chr21	10990890	10991214	55	947	602	2141	1477	1214	894	3729	2756	1176	824	1640	1102	1665	1137	2572	1434
chr21	11000091	11000293	9	165	102	310	230	NA	NA	NA	NA	80	43	126	76	102	81	433	341
chr21	11012028	11012096	5	NA	NA	30	15	115	41	160	59	125	87	60	20	50	34	50	35
chr21	11017304	11017438	4	48	45	128	118	NA	NA	28	27	28	13	40	26	80	53	28	24
chr21	11043151	11043337	4	114	86	156	131	63	50	NA	NA	177	91	21	16	195	167	24	16
chr21	11055828	11056032	8	NA	NA	292	200	42	35	45	33	NA	NA	31	15	383	271	NA	NA
chr21	11078071	11078205	7	606	463	90	63	306	223	270	166	138	69	66	45	72	57	60	47
chr21	11081351	11081456	3	50	42	22	20	32	21	50	13	NA	NA	186	110	NA	NA	26	21
chr21	11088648	11088783	7	276	192	NA	NA	NA	NA	534	427	NA	NA	132	93	96	71	NA	NA
chr21	11089375	11089443	4	NA	NA	40	17	92	43	NA	NA	24	10	36	22	32	23	68	46
chr21	11092275	11092479	9	322	212	442	329	239	166	98	72	98	73	54	44	595	457	83	50
chr21	11094765	11094833	4	68	38	28	19	52	30	48	33	204	124	72	17	96	59	48	30
chr21	11098625	11098890	12	56	41	1000	754	471	392	155	109	456	344	435	325	159	109	611	354
chr21	11099119	11099327	8	611	491	68	42	335	91	313	219	168	123	216	146	353	245	60	51
chr21	11100696	11100839	4	33	15	534	321	54	49	195	166	21	15	264	211	27	13	81	62
chr21	11106377	11106445	4	NA	NA	40	24	216	138	32	14	24	16	184	78	96	49	20	10
chr21	11106768	11106968	15	216	54	352	108	278	96	878	212	778	555	384	222	262	197	1132	775
chr21	11107412	11107754	13	243	164	68	38	603	204	321	192	243	158	92	58	303	199	433	192
chr21	11111177	11111288	6	185	120	480	323	430	298	95	50	NA	NA	300	204	230	152	NA	NA
chr21	11114761	11114901	7	204	129	204	127	NA	NA	120	76	198	115	66	43	300	164	54	35
chr21	11116646	11116841	12	192	128	448	278	102	70	197	112	NA	NA	229	169	165	79	188	105
chr21	11123568	11123635	3	147	52	96	47	69	22	108	33	102	44	NA	NA	102	47	150	66
chr21	11126319	11126388	4	91	64	276	188	59	46	NA	NA	72	47	73	45	NA	NA	NA	NA
chr21	11128971	11129105	7	114	64	102	68	NA	NA	948	449	108	68	NA	NA	198	121	NA	NA
chr21	11129971	11130178	6	146	62	74	42	66	23	210	98	112	55	70	40	146	76	308	135
chr21	11131358	11131417	3	45	26	NA	NA	37	28	37	25	20	16	65	43	55	32	38	26
chr21	11131997	11132200	9	NA	NA	216	124	80	43	NA	NA	48	20	40	28	632	320	NA	NA
chr21	11134519	11134649	9	152	88	112	64	112	74	1680	826	NA	NA	400	262	40	25	24	16
chr21	11135421	11135609	5	69	39	33	15	210	146	78	30	39	25	86	39	NA	NA	84	41
chr21	11136019	11136149	4	60	35	105	68	42	17	39	29	NA	NA	NA	NA	NA	NA	39	28
chr21	11138064	11138265	6	80	30	156	79	264	140	212	121	144	83	272	151	426	231	NA	NA
chr21	11140006	11140222	9	64	44	184	113	NA	NA	NA	NA	224	121	64	42	1344	751	40	25
chr21	11154512	11154720	14	381	216	927	549	21	10	60	30	195	127	468	262	240	127	237	133
chr21	11164478	11164669	7	502	311	90	56	150	98	NA	NA	78	43	138	79	102	62	102	73
chr21	11168541	11168739	17	354	183	342	189	528	269	1104	599	120	63	252	174	732	372	336	182
chr21	11169010	11169246	16	420	223	976	545	520	242	790	395	737	358	675	335	262	138	181	85
chr21	11169476	11169558	5	350	182	110	45	NA	NA	65	28	135	64	145	68	200	113	305	167
chr21	11169763	11170068	21	409	288	245	158	98	40	209	113	461	262	917	506	672	361	310	159
chr21	11170408	11170463	5	135	80	NA	NA	235	107	495	223	110	46	NA	NA	NA	NA	375	166
chr21	14372871	14373042	10	NA	NA	189	115	387	200	315	196	27	19	1098	671	90	52	NA	NA
chr21	14384288	14384477	8	182	113	882	458	196	98	77	45	56	35	NA	NA	105	66	189	120
chr21	14389735	14389803	3	NA	NA	NA	NA	30	19	NA	NA	NA	NA	NA	NA	27	13	NA	NA
chr21	14390575	14390770	4	127	81	NA	NA	92	57	NA	NA	103	68	163	95	NA	NA	59	40
chr21	14392396	14392507	4	177	108	93	66	54	26	123	91	126	85	36	27	96	74	90	52
chr21	14407261	14407466	9	NA	NA	88	58	175	104	70	48	119	78	104	60	NA	NA	152	101
chr21	14409816	14410030	11	74	51	968	563	226	133	172	102	208	123	94	50	253	146	668	354
chr21	14410766	14410908	8	140	95	28	14	301	188	154	89	28	17	238	138	189	107	91	56
chr21	14437716	14437784	4	NA	NA	32	13	20	9	NA	NA	NA	NA	48	19	NA	NA	NA	NA
chr21	14439716	14439784	7	126	72	140	69	NA	NA	364	211	77	32	210	125	70	41	42	30
chr21	14455597	14455696	4	43	24	46	10	23	13	NA	NA	365	170	51	22	60	30	38	17
chr21	14564970	14565174	11	486	304	NA	NA	110	68	508	292	1024	666	79	50	138	80	20	17
chr21	14567801	14567921	4	21	13	NA	NA	NA	NA	45	25	252	172	108	68	120	86	NA	NA
chr21	14568464	14568800	23	904	553	694	414	403	224	814	485	1126	695	671	381	349	184	516	284
chr21	14568811	14569143	19	1064	567	658	410	455	247	342	203	62	40	107	66	212	132	460	287
chr21	14625479	14625612	7	252	164	444	241	150	93	222	134	180	74	228	129	48	31	282	184
chr21	14651586	14651720	5	48	32	72	38	68	32	112	60	120	73	188	121	72	41	108	60
chr21	14683564	14683650	3	21	11	30	21	NA	NA	NA	NA	105	40	27	12	NA	NA	36	24
chr21	14684523	14684641	4	48	29	27	17	33	15	90	63	318	220	45	27	72	56	24	11
chr21	14740380	14740551	5	68	44	156	109	124	83	160	101	NA	NA	240	157	60	24	104	72
chr21	14744525	14744747	9	309	163	208	120	173	107	420	241	159	89	413	242	181	99	257	136
chr21	14745859	14745968	4	168	121	44	24	204	131	84	54	124	84	104	81	116	66	NA	NA
chr21	14751241	14751543	13	360	149	300	154	315	151	613	303	177	89	139	74	196	124	83	48
chr21	14751587	14751916	15	117	60	67	38	101	60	164	101	356	185	380	246	187	95	149	98
chr21	14751925	14752254	14	610	379	1338	899	150	97	281	175	522	297	119	75	673	449	267	149
chr21	14753130	14753241	5	132	79	232	138	28	14	184	115	20	14	100	68	NA	NA	164	93
chr21	14775555	14775622	3	138	54	573	268	48	18	111	47	123	48	30	15	NA	NA	111	47
chr21	14777842	14778042	13	140	82	225	140	835	528	582	346	NA	NA	825	560	601	346	239	137
chr21	14797114	14797316	11	110	67	NA	NA	107	57	NA	NA	91	52	81	49	402	240	764	474
chr21	14800741	14800997	7	78	54	108	40	296	135	194	76	130	56	234	107	520	284	334	127
chr21	14855059	14855171	3	98	40	126	64	90	64	44	33	100	64	82	51	24	13	86	57
chr21	14863198	14863397	9	290	182	86	58	79	50	196	108	57	36	NA	NA	NA	NA	142	101
chr21	14886862	14887039	5	208	123	132	84	56	38	92	50	20	9	96	62	284	145	40	20
chr21	14897436	14897546	6	138	85	126	73	24	12	NA	NA	NA	NA	NA	NA	132	97	36	21
chr21	14926022	14926149	7	NA	NA	21	11	42	22	427	274	35	19	126	85	NA	NA	35	23
chr21	14944159	14944346	10	240	115	251	139	354	209	116	61	82	34	336	177	138	69	107	55
chr21	14955769	14956027	9	76	39	116	42	100	54	228	106	84	26	84	42	164	85	72	51
chr21	14956768	14956932	4	45	32	36	23	NA	NA	243	127	42	24	150	76	24	9	108	67
chr21	14975944	14976147	11	60	36	30	14	20	11	20	11	80	51	120	61	120	65	470	299
chr21	14978937	14979005	5	380	190	20	11	140	33	65	32	180	101	20	11	30	14	30	20
chr21	14982504	14982515	3	NA	NA	NA	NA	NA	NA	51	30	NA	NA	132	99	30	21	72	46
chr21	15036090	15036133	4	NA	NA	NA	NA	76	0	NA	NA	60	43	48	16	80	24	60	40
chr21	15036394	15036644	7	68	21	478	179	1117	665	267	141	235	124	168	97	156	54	255	149
chr21	15038170	15038417	22	594	365	352	291	70	56	166	130	2596	2211	160	118	921	764	78	61
chr21	15038716	15038900	13	420	323	276	190	216	159	216	172	371	283	168	132	24	20	36	27
chr21	15039405	15039449	3	81	45	81	33	129	76	NA	NA	NA	NA	NA	NA	NA	NA	162	96
chr21	15052897	15052990	6	NA	NA	60	34	NA	NA	42	28	24	21	138	116	402	358	48	25
chr21	15067406	15067625	14	1150	769	301	195	181	72	128	87	264	151	145	88	549	342	188	140
chr21	15068919	15069376	28	810	315	327	77	764	354	541	189	437	191	874	310	892	417	1453	329
chr21	15077096	15077416	35	1790	884	473	248	1670	783	1223	519	2834	1164	1788	873	705	333	915	369
chr21	15077423	15077738	30	760	279	955	467	1292	557	293	131	1604	596	1573	822	651	271	847	396
chr21	15078066	15078363	8	150	65	96	43	199	128	NA	NA	67	41	223	95	241	139	256	134
chr21	15083594	15083728	5	20	11	120	73	136	60	100	48	208	120	172	93	384	192	116	50
chr21	15086216	15086289	3	24	4	24	9	NA	NA	NA	NA	68	37	40	29	42	15	65	38
chr21	15095791	15096245	37	1624	549	635	88	1029	288	942	193	1702	554	1664	786	778	265	1087	350
chr21	15096353	15096432	6	348	134	522	40	24	3	888	337	126	44	138	60	NA	NA	NA	NA
chr21	15098192	15098247	3	288	223	63	56	NA	NA	77	72	258	234	NA	NA	98	65	40	34
chr21	15134627	15134866	25	344	253	1303	1033	1030	745	838	588	648	471	555	428	442	357	358	269
chr21	15135093	15135523	21	334	254	296	241	167	135	215	157	308	233	1041	720	211	156	805	574
chr21	15135775	15136060	18	143	109	1193	943	93	67	705	551	436	359	139	116	102	90	472	334
chr21	15136424	15136619	9	56	45	248	218	64	55	112	93	240	197	56	47	NA	NA	184	140
chr21	15149395	15149510	3	NA	NA	22	18	44	41	34	32	22	12	290	258	NA	NA	NA	NA
chr21	15160846	15160914	3	NA	NA	42	27	NA	NA	NA	NA	NA	NA	33	22	NA	NA	69	45
chr21	15165253	15165427	8	48	25	30	20	276	151	195	82	225	130	150	62	312	167	183	118
chr21	15181680	15181814	6	95	87	685	503	425	348	265	214	20	16	395	367	325	161	NA	NA
chr21	15198442	15198645	9	64	49	105	98	121	96	489	375	56	53	42	37	212	184	86	76
chr21	15198977	15199222	14	236	170	251	219	234	198	240	164	316	257	127	91	58	55	139	127
chr21	15199517	15199890	19	180	140	657	558	225	188	342	294	459	369	1062	850	162	144	621	550
chr21	15200139	15200261	9	304	248	288	195	320	269	88	73	320	239	272	217	184	143	632	536
chr21	15269957	15269998	3	NA	NA	54	35	NA	NA	228	129	24	15	99	42	42	8	210	130
chr21	15307101	15307355	13	180	114	469	304	334	237	258	180	98	70	58	40	258	181	215	157
chr21	15307366	15307627	13	515	402	137	93	149	107	1010	892	148	128	593	494	318	197	306	238
chr21	15308006	15308120	4	438	420	57	41	312	284	75	70	90	70	105	81	NA	NA	180	162
chr21	15308268	15308565	11	569	72	159	11	279	22	162	19	318	209	140	88	139	97	249	167
chr21	15308579	15308876	13	412	45	400	36	410	25	629	26	340	244	99	91	32	28	260	201
chr21	15352004	15352137	13	NA	NA	108	47	456	178	384	151	1500	629	NA	NA	1152	564	216	99
chr21	15352413	15352517	13	408	232	384	199	NA	NA	36	18	276	125	84	40	NA	NA	372	199
chr21	15353372	15353623	14	523	291	625	263	198	83	988	584	873	444	211	72	944	520	195	94
chr21	15353627	15353879	11	464	248	340	172	40	25	118	67	601	297	316	138	378	183	220	111
chr21	15358345	15358494	5	84	39	NA	NA	264	128	56	25	NA	NA	148	80	44	13	116	48
chr21	15380395	15380638	11	773	337	587	299	659	327	168	61	326	123	290	95	837	375	321	168
chr21	15381177	15381284	3	NA	NA	28	13	24	16	62	39	26	10	156	96	44	20	24	18
chr21	15383284	15383505	5	177	92	125	46	279	127	70	40	91	18	157	77	442	182	88	23
chr21	15384485	15384882	9	114	59	78	29	156	63	120	32	162	81	206	97	66	39	530	132
chr21	15386881	15387100	8	94	54	NA	NA	26	8	NA	NA	NA	NA	543	215	136	68	321	165
chr21	15399146	15399385	6	50	21	105	30	101	18	104	46	179	59	206	116	358	121	106	44
chr21	15399739	15400042	17	996	345	724	254	182	58	521	241	423	139	418	144	446	168	356	167
chr21	15416715	15416764	4	47	24	69	26	65	12	35	14	21	13	124	57	22	5	20	3
chr21	15416886	15416918	3	31	20	51	15	49	11	25	3	NA	NA	98	23	NA	NA	NA	NA
chr21	15426939	15427021	4	84	14	160	26	68	26	224	88	24	7	60	16	80	6	68	28
chr21	15430453	15430513	4	35	5	28	13	69	24	178	35	52	20	63	8	185	22	32	12
chr21	15434897	15434938	4	144	24	NA	NA	64	24	44	16	24	6	120	6	92	27	52	18
chr21	15436206	15436520	35	364	97	1362	340	427	76	460	65	1172	925	845	718	1143	903	1568	1344
chr21	15436558	15436866	23	726	230	156	39	969	145	1112	107	808	667	130	122	676	625	2075	1804
chr21	15438233	15438309	3	383	356	36	34	100	88	158	153	53	37	NA	NA	54	44	76	60
chr21	15442965	15443153	19	1099	941	85	75	259	195	582	505	252	234	478	449	493	404	643	532
chr21	15443388	15443503	7	42	41	60	50	480	429	324	263	NA	NA	180	172	198	187	324	277
chr21	15443777	15443919	11	80	67	180	146	840	690	390	356	250	220	970	836	210	176	320	297
chr21	15444192	15444382	11	301	225	827	623	339	299	144	130	711	668	300	268	203	183	984	857
chr21	15444659	15445139	21	278	207	867	696	651	462	971	754	1071	769	779	585	71	48	804	650
chr21	15445143	15445593	29	997	772	1468	1229	668	603	1239	1200	1102	831	1318	1202	435	367	478	406
chr21	15445626	15446107	21	915	732	737	679	386	352	516	400	488	405	326	293	824	662	290	250
chr21	15446529	15446718	10	115	68	233	149	75	46	468	329	39	27	208	149	644	466	862	664
chr21	15448154	15448397	10	358	238	466	324	410	308	337	235	344	270	425	362	238	157	863	788
chr21	15448439	15448704	17	444	304	364	241	340	253	428	313	1542	1136	474	327	425	311	200	143
chr21	15449791	15449909	6	NA	NA	165	137	230	214	215	170	205	205	NA	NA	90	89	NA	NA
chr21	15452644	15452686	3	NA	NA	109	92	209	205	23	21	53	50	20	15	22	22	132	129
chr21	15452815	15452938	9	128	103	177	131	406	317	114	88	590	459	394	234	92	69	476	322
chr21	15454556	15454772	6	525	351	190	152	302	271	110	73	338	226	88	64	395	331	184	127
chr21	15455642	15455710	5	NA	NA	190	135	325	213	175	134	105	77	35	26	255	196	110	85
chr21	15456324	15456545	14	257	197	343	279	1147	1008	192	173	458	383	134	105	279	229	880	644
chr21	15456836	15456876	4	80	59	44	31	140	84	NA	NA	20	15	20	14	476	311	80	58
chr21	15457965	15458170	6	237	182	591	336	322	187	54	48	81	61	124	112	137	91	101	91
chr21	15459308	15459496	4	190	150	72	33	120	82	78	59	44	36	48	29	90	78	238	191
chr21	15460105	15460192	4	68	43	264	195	480	327	140	98	476	239	NA	NA	80	58	28	21
chr21	15474708	15474898	7	NA	NA	192	162	474	456	234	230	264	228	234	226	36	32	210	164
chr21	15547095	15547168	7	222	188	100	83	143	127	38	33	NA	NA	46	43	392	381	535	477
chr21	15548221	15548355	10	54	52	NA	NA	NA	NA	126	106	81	79	243	190	45	42	360	358
chr21	15586013	15586148	4	129	126	75	74	99	79	NA	NA	171	159	252	249	NA	NA	222	193
chr21	15588454	15588650	17	846	398	519	262	945	470	742	308	51	3	87	2	216	14	335	11
chr21	15646300	15646377	8	104	22	96	40	NA	NA	NA	NA	528	233	168	80	1000	532	288	160
chr21	15653408	15653462	4	64	23	NA	NA	288	102	28	10	NA	NA	NA	NA	32	10	124	49
chr21	15673414	15673546	8	840	342	511	258	294	145	462	277	98	45	91	50	322	136	126	54
chr21	15735356	15735559	8	231	115	NA	NA	546	296	NA	NA	140	68	63	24	28	14	91	47
chr21	15755032	15755309	13	416	271	94	44	1281	524	170	82	432	200	236	107	258	143	253	139
chr21	15755372	15755672	22	980	418	606	285	2265	1005	360	177	778	408	796	382	486	247	269	136
chr21	15763526	15763722	9	NA	NA	176	104	192	89	136	60	368	191	480	172	48	18	224	131
chr21	15869772	15869886	11	361	168	434	218	416	216	36	18	131	58	139	77	638	317	469	289
chr21	15902359	15902494	7	102	28	558	322	222	135	150	88	NA	NA	486	148	312	184	300	110
chr21	15978323	15978456	8	329	181	567	303	91	45	189	89	364	142	238	142	280	121	1008	500
chr21	16016606	16016700	3	22	13	NA	NA	35	13	315	171	321	209	23	6	25	17	46	20
chr21	16057114	16057182	4	48	24	176	92	292	135	24	12	84	40	28	7	24	7	252	75
chr21	16163845	16164048	8	316	120	128	65	NA	NA	120	67	300	169	176	77	184	67	300	128
chr21	16192229	16192333	3	74	34	20	12	NA	NA	NA	NA	NA	NA	72	48	148	68	20	13
chr21	16214656	16214724	4	40	19	24	7	84	31	208	79	20	5	308	112	44	21	36	16
chr21	16259636	16259686	4	NA	NA	268	104	108	18	36	16	156	56	244	98	128	57	80	24
chr21	16299317	16299440	4	183	56	288	171	NA	NA	NA	NA	57	32	81	32	NA	NA	63	30
chr21	16299709	16299886	8	434	249	154	70	91	49	280	149	49	29	49	20	266	141	NA	NA
chr21	16320110	16320254	3	48	22	NA	NA	108	55	40	16	26	4	28	16	NA	NA	106	62
chr21	16364482	16364597	6	50	36	35	18	30	10	610	351	25	9	185	102	60	20	80	44
chr21	16368590	16368693	3	44	14	24	16	98	59	64	34	72	22	30	15	48	11	NA	NA
chr21	16416300	16416435	7	246	104	138	78	102	45	228	122	138	69	456	234	132	74	204	80
chr21	16436605	16436924	30	202	89	968	382	1841	688	1103	471	574	50	1183	28	836	39	1101	40
chr21	16436930	16437249	56	1179	537	2123	963	1553	734	1306	607	3082	40	1035	53	3415	202	1288	67
chr21	16437511	16437790	26	496	201	541	235	432	168	1207	509	856	9	465	0	158	13	996	14
