chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9826758	chr21	9826758	R	25	68.00	32.00
chr21.9826766	chr21	9826766	R	52	0.00	100.00
chr21.9826773	chr21	9826773	R	55	0.00	100.00
chr21.9826778	chr21	9826778	R	57	54.39	45.61
chr21.9826780	chr21	9826780	R	57	0.00	100.00
chr21.9826789	chr21	9826789	R	58	48.28	51.72
chr21.9826802	chr21	9826802	R	58	55.17	44.83
chr21.9826806	chr21	9826806	R	55	65.45	34.55
chr21.9826845	chr21	9826845	R	10	80.00	20.00
chr21.9826854	chr21	9826854	R	10	80.00	20.00
chr21.9826856	chr21	9826856	R	10	0.00	100.00
chr21.9826874	chr21	9826874	R	10	0.00	100.00
chr21.9826901	chr21	9826901	R	10	0.00	100.00
chr21.9826912	chr21	9826912	R	10	80.00	20.00
chr21.9826921	chr21	9826921	R	10	0.00	100.00
chr21.9826927	chr21	9826927	R	10	60.00	40.00
chr21.9826932	chr21	9826932	R	10	40.00	60.00
chr21.9826975	chr21	9826975	R	16	56.25	43.75
chr21.9826977	chr21	9826977	R	16	0.00	100.00
chr21.9826980	chr21	9826980	R	22	63.64	36.36
chr21.9826988	chr21	9826988	R	30	33.33	66.67
chr21.9826991	chr21	9826991	R	31	70.97	29.03
chr21.9826993	chr21	9826993	R	29	82.76	17.24
chr21.9827070	chr21	9827070	R	16	75.00	25.00
chr21.9827074	chr21	9827074	R	16	50.00	50.00
chr21.9827078	chr21	9827078	R	15	0.00	100.00
chr21.9827336	chr21	9827336	R	12	0.00	100.00
chr21.9827339	chr21	9827339	R	13	15.38	84.62
chr21.9827342	chr21	9827342	R	12	50.00	50.00
chr21.9827351	chr21	9827351	R	11	0.00	100.00
chr21.9827355	chr21	9827355	R	12	0.00	100.00
chr21.9827374	chr21	9827374	R	12	91.67	8.33
chr21.9827435	chr21	9827435	R	20	0.00	100.00
chr21.9827455	chr21	9827455	R	28	0.00	100.00
chr21.9827484	chr21	9827484	R	25	0.00	100.00
chr21.9827486	chr21	9827486	R	26	0.00	100.00
chr21.9827503	chr21	9827503	R	25	72.00	28.00
chr21.9827508	chr21	9827508	R	27	74.07	25.93
chr21.9829442	chr21	9829442	F	27	96.30	3.70
chr21.9829457	chr21	9829457	F	33	0.00	100.00
chr21.9829537	chr21	9829537	F	10	0.00	100.00
chr21.9829443	chr21	9829443	R	13	0.00	100.00
chr21.9829458	chr21	9829458	R	30	0.00	100.00
chr21.9829538	chr21	9829538	R	25	64.00	36.00
chr21.9869241	chr21	9869241	R	14	0.00	100.00
chr21.9869296	chr21	9869296	R	28	0.00	100.00
chr21.9869880	chr21	9869880	F	14	57.14	42.86
chr21.9869881	chr21	9869881	R	25	64.00	36.00
chr21.9869930	chr21	9869930	R	13	38.46	61.54
chr21.9876139	chr21	9876139	F	27	0.00	100.00
chr21.9876255	chr21	9876255	F	19	0.00	100.00
chr21.9876267	chr21	9876267	F	19	0.00	100.00
chr21.9876433	chr21	9876433	F	19	0.00	100.00
chr21.9876256	chr21	9876256	R	34	73.53	26.47
chr21.9876268	chr21	9876268	R	22	59.09	40.91
chr21.9876434	chr21	9876434	R	21	71.43	28.57
chr21.9876467	chr21	9876467	R	22	59.09	40.91
chr21.9879239	chr21	9879239	F	28	39.29	60.71
chr21.9879270	chr21	9879270	F	27	0.00	100.00
chr21.9879278	chr21	9879278	F	28	75.00	25.00
chr21.9879306	chr21	9879306	F	27	74.07	25.93
chr21.9879392	chr21	9879392	F	26	73.08	26.92
chr21.9879401	chr21	9879401	F	27	0.00	100.00
chr21.9879271	chr21	9879271	R	26	65.38	34.62
