chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr21	9578745	0.3	0.7	0	0.7	0	-0.2846	0	43	11.25	23
chr21	9578749	0.0333	0.9	0.0667	0.9	0	0.0563	0	44	11.25	23
chr21	9578750	0.1667	0.8333	0	0.8333	0	-0.3641	0	45	9.75	16.75
chr21	9578751	0.0333	0.9333	0.0333	0.9333	0	0.2387	0	46	11.25	23
chr21	9578752	0.0667	0.9333	0	0.9333	0	-0.0612	0	47	9.75	16.75
chr21	9578761	0.1333	0.7667	0.1	0.7667	0	-0.0251	0	48	11.25	23
chr21	9578762	0.2667	0.7	0.0333	0.7	0	-0.3795	0	49	9.75	16.75
chr21	9578794	0.0333	0.9667	0	0.9667	0	-0.133	0	50	11.25	23
chr21	9578795	0.0667	0.8333	0.1	0.8333	0	-0.0235	0	51	9.75	16.75
chr21	9578805	0	0.9667	0.0333	0.9667	0	0.078	0	52	11.25	23
chr21	9578806	0.0333	0.9667	0	0.9667	0	-0.0374	0	53	9.75	16.75
chr21	9578839	0.1333	0.7667	0.1	0.7667	0	0.1313	0	54	11.25	23
chr21	9578840	0	1	0	1	0	0.0037	0	55	9.75	16.75
chr21	9578850	0.0333	0.9333	0.0333	0.9333	0	-0.1048	0	56	11.25	23
chr21	9578851	0.3333	0.6667	0	0.6667	0	-0.1407	0	57	9.75	16.75
chr21	9578880	0.2	0.8	0	0.8	0	-0.4225	0	58	9.75	16.75
chr21	9593702	0	1	0	1	0	0	0	59	13	15.25
chr21	9593782	0.1	0.7667	0.1333	0.7667	0	0.0299	0	60	13	15.25
chr21	9647716	0.1	0.8333	0.0667	0.8333	0	0.1381	0	61	23.5	27.5
chr21	9647717	0	1	0	1	0	0	0	62	26.25	21.75
chr21	9647763	0.0333	0.9667	0	0.9667	0	-0.1034	0	63	28.5	46
chr21	9647764	0	1	0	1	0	-0.0427	0	64	26.25	21.75
chr21	9647767	0.1333	0.8667	0	0.8667	0	-0.3531	0	65	3	17.75
chr21	9647780	0	0.9667	0.0333	0.9667	0	0.0221	0	66	3	17.75
chr21	9647788	0.0333	0.9667	0	0.9667	0	0.006	0	67	3	17.75
chr21	9647868	0	1	0	1	0	-0.0408	0	68	3	17.75
chr21	9647874	0.0667	0.8333	0.1	0.8333	0	0.0699	0	69	3	17.75
chr21	9647877	0.0333	0.9667	0	0.9667	0	-0.1212	0	70	3	17.75
chr21	9647881	0.0333	0.9667	0	0.9667	0	0.0119	0	71	3	17.75
chr21	9647942	0	1	0	1	0	-0.0139	0	72	9.25	6.5
chr21	9647975	0	1	0	1	0	-0.0644	0	73	9.25	6.5
chr21	9647998	0	1	0	1	0	0.3382	0	74	9.25	6.5
chr21	9648025	0	0.9667	0.0333	0.9667	0	0.1652	0	75	9.25	6.5
chr21	9652926	0.0333	0.9333	0.0333	0.9333	0	0.1547	0	76	10.25	17.75
chr21	9652937	0.0667	0.8667	0.0667	0.8667	0	0.1521	0	77	10.25	17.75
chr21	9652938	0.0667	0.9	0.0333	0.9	0	0.0823	0	78	10.75	13.25
chr21	9652972	0.0333	0.9	0.0667	0.9	0	-0.0155	0	79	10.25	17.75
chr21	9652973	0.0667	0.9	0.0333	0.9	0	-0.0033	0	80	10.75	13.25
chr21	9653025	0	1	0	1	0	-0.0342	0	81	10.25	17.75
chr21	9653026	0	1	0	1	0	-0.0575	0	82	10.75	13.25
chr21	9653102	0.1	0.8667	0.0333	0.8667	0	0.0563	0	83	10.75	13.25
chr21	9664671	0.5	0.4667	0.0333	0.5	-1	-0.3713	-1	84	21.5	9.25
chr21	9664678	0	1	0	1	0	0.0799	0	85	21.5	9.25
chr21	9664679	0.0333	0.9333	0.0333	0.9333	0	-0.0164	0	86	23.5	12.5
chr21	9664711	0	1	0	1	0	0.0329	0	87	21.5	9.25
chr21	9664712	0.0667	0.6667	0.2667	0.6667	0	0.2854	0	88	23.5	12.5
chr21	9664765	0.1	0.8	0.1	0.8	0	0.0711	0	89	21.5	9.25
chr21	9664766	0	0.9	0.1	0.9	0	0.197	0	90	23.5	12.5
chr21	9664822	0.4	0.5333	0.0667	0.5333	0	-0.1213	0	91	23.5	12.5
chr21	9695485	0.5333	0.3667	0.1	0.5333	-1	-0.245	0	92	7.75	17.5
chr21	9695557	0.2	0.7667	0.0333	0.7667	0	-0.051	0	93	7.75	17.5
chr21	9695577	0	1	0	1	0	0	0	94	7.5	17.5
chr21	9701496	0	1	0	1	0	-0.0962	0	95	10.25	5.5
chr21	9701527	0	0.9333	0.0667	0.9333	0	0.1593	0	96	10.25	5.5
chr21	9701528	0.2	0.7333	0.0667	0.7333	0	-0.1225	0	97	14.5	6.25
chr21	9701531	0.3333	0.6	0.0667	0.6	0	-0.2166	0	98	10.25	5.5
chr21	9701532	0.1	0.8667	0.0333	0.8667	0	-0.0929	0	99	14.5	6.25
chr21	9701563	0.1667	0.8333	0	0.8333	0	-0.1585	0	100	10.25	5.5
chr21	9701564	0.1	0.7667	0.1333	0.7667	0	0.0566	0	101	14.5	6.25
chr21	9701652	0.3667	0.5667	0.0667	0.5667	0	-0.2776	0	102	10.25	5.5
chr21	9701653	0.0333	0.8667	0.1	0.8667	0	0.2054	0	103	14.5	6.25
chr21	9701657	0.1333	0.8	0.0667	0.8	0	0.1035	0	104	10.25	5.5
chr21	9701658	0.3333	0.5333	0.1333	0.5333	0	-0.0902	0	105	14.5	6.25
chr21	9701661	0.2333	0.7667	0	0.7667	0	-0.3208	0	106	10.25	5.5
chr21	9701662	0.0333	0.9	0.0667	0.9	0	-0.0616	0	107	14.5	6.25
chr21	9701670	0.0667	0.8667	0.0667	0.8667	0	0.0576	0	108	10.25	5.5
chr21	9701671	0	0.9667	0.0333	0.9667	0	0.243	0	109	14.5	6.25
chr21	9701694	0	0.9333	0.0667	0.9333	0	0.1798	0	110	14.5	6.25
chr21	9702329	0.0667	0.9333	0	0.9333	0	0.0137	0	111	15.75	10.5
chr21	9702339	0	1	0	1	0	0.1003	0	112	15.75	10.5
chr21	9702345	0.1	0.8333	0.0667	0.8333	0	0.1725	0	113	15.75	10.5
chr21	9702369	0	0.9333	0.0667	0.9333	0	0.0708	0	114	15.75	10.5
chr21	9702401	0.2	0.7	0.1	0.7	0	-0.0963	0	115	15.75	10.5
chr21	9702415	0.5333	0.4667	0	0.5333	-1	-0.1641	0	116	15.75	10.5
chr21	9702470	0.1	0.7333	0.1667	0.7333	0	-0.1609	0	117	15.75	10.5
chr21	9702480	0	1	0	1	0	-0.0431	0	118	15.75	10.5
chr21	9702485	0.0667	0.8	0.1333	0.8	0	-0.2062	0	119	15.75	10.5
chr21	9702491	0.1333	0.5	0.3667	0.5	0	0.2148	0	120	20.25	34.25
chr21	9702509	0.0333	0.6	0.3667	0.6	0	0.2795	0	121	20.25	34.25
chr21	9702520	0.3	0.7	0	0.7	0	-0.1619	0	122	20.25	34.25
chr21	9702529	0.1667	0.7667	0.0667	0.7667	0	0.0116	0	123	20.25	34.25
chr21	9702575	0	1	0	1	0	0	0	124	20.25	34.25
chr21	9704094	0	1	0	1	0	0	0	125	7.75	20.25
chr21	9704112	0	1	0	1	0	0.1106	0	126	7.75	20.25
chr21	9704138	0.2	0.8	0	0.8	0	-0.2728	0	127	7.75	20.25
chr21	9704144	0.6667	0.3333	0	0.6667	-1	-0.2966	0	128	7.75	20.25
chr21	9704364	0.0333	0.7333	0.2333	0.7333	0	0.239	0	129	8	10.75
chr21	9704371	0	0.9333	0.0667	0.9333	0	0.415	0	130	8	10.75
chr21	9704379	0.2333	0.7667	0	0.7667	0	-0.173	0	131	8	10.75
chr21	9704385	0.1	0.8667	0.0333	0.8667	0	0.0079	0	132	8	10.75
chr21	9704393	0.3667	0.6	0.0333	0.6	0	-0.1345	0	133	8	10.75
chr21	9704423	0.1333	0.8	0.0667	0.8	0	0.0876	0	134	8	10.75
chr21	9704431	0.6	0.4	0	0.6	-1	-0.4074	-1	135	8	10.75
chr21	9704471	0	0.8333	0.1667	0.8333	0	0.0169	0	136	8	10.75
chr21	9704477	0.0333	0.9667	0	0.9667	0	-0.0463	0	137	8	10.75
chr21	9704509	0	1	0	1	0	0.1285	0	138	8	10.75
chr21	9704514	0.3333	0.6667	0	0.6667	0	-0.3654	0	139	8	10.75
chr21	9708982	0.2	0.8	0	0.8	0	-0.3294	0	140	18.75	8.25
chr21	9708995	0.0333	0.9333	0.0333	0.9333	0	0.0392	0	141	18.75	8.25
chr21	9709006	0.1333	0.8667	0	0.8667	0	-0.5476	0	142	18.75	8.25
chr21	9709019	0.4333	0.5333	0.0333	0.5333	0	-0.4087	0	143	18.75	8.25
chr21	9709034	0	1	0	1	0	-0.3036	0	144	18.75	8.25
chr21	9709043	0	1	0	1	0	0	0	145	18.75	8.25
chr21	9709074	0	1	0	1	0	0.0427	0	146	35	13.25
chr21	9709087	0.1	0.9	0	0.9	0	-0.3415	0	147	35	13.25
chr21	9709088	0.7667	0.2333	0	0.7667	-1	-0.5831	-1	148	39	10.5
chr21	9709099	0.2667	0.5333	0.2	0.5333	0	-0.0164	0	149	35	13.25
chr21	9709100	0.8	0.2	0	0.8	-1	-0.4656	-1	150	39	10.5
chr21	9709105	0.0333	0.9667	0	0.9667	0	-0.1894	0	151	35	13.25
chr21	9709106	0.0667	0.9333	0	0.9333	0	-0.2244	0	152	39	10.5
chr21	9709116	0.1	0.9	0	0.9	0	-0.316	0	153	35	13.25
chr21	9709117	0.3	0.7	0	0.7	0	-0.3714	0	154	39	10.5
chr21	9709132	0.2	0.7667	0.0333	0.7667	0	-0.4525	0	155	35	13.25
chr21	9709133	0.7333	0.2667	0	0.7333	-1	-0.575	-1	156	39	10.5
chr21	9709141	0.0667	0.9333	0	0.9333	0	0.0135	0	157	35	13.25
chr21	9709142	0.2333	0.7667	0	0.7667	0	-0.2462	0	158	39	10.5
chr21	9709149	0.1333	0.8667	0	0.8667	0	-0.2527	0	159	35	13.25
chr21	9709150	0.8	0.2	0	0.8	-1	-0.614	-1	160	39	10.5
chr21	9709161	0.5333	0.3667	0.1	0.5333	-1	-0.3315	-1	161	35	13.25
chr21	9709162	0.9333	0.0667	0	0.9333	-1	-0.7128	-1	162	39	10.5
chr21	9709173	0.7667	0.2333	0	0.7667	-1	-0.5304	-1	163	35	13.25
chr21	9709174	0.6333	0.3667	0	0.6333	-1	-0.4628	-1	164	39	10.5
chr21	9709175	0.1667	0.8333	0	0.8333	0	-0.4405	0	165	35	13.25
chr21	9709176	0.5667	0.4	0.0333	0.5667	-1	-0.1822	0	166	39	10.5
chr21	9709188	0.8	0.2	0	0.8	-1	-0.6174	-1	167	39	10.5
chr21	9717491	0	0.8333	0.1667	0.8333	0	0.5192	0	168	16.75	21.5
chr21	9717558	0	0.8333	0.1667	0.8333	0	0.3578	0	169	16.75	21.5
chr21	9717559	0	0.9333	0.0667	0.9333	0	0.0683	0	170	14.75	21
chr21	9717661	0	1	0	1	0	0.1149	0	171	16.75	21.5
chr21	9717662	0	0.9667	0.0333	0.9667	0	0.1012	0	172	14.75	21
chr21	9717696	0	1	0	1	0	0.3051	0	173	14.75	21
chr21	9718339	0	1	0	1	0	0	0	174	2.5	14.5
chr21	9718407	0	1	0	1	0	-0.0588	0	175	2.5	14.5
chr21	9825467	0	1	0	1	0	0.0089	0	176	14	5.5
chr21	9825468	0	1	0	1	0	0	0	177	15	7.5
chr21	9825471	0	1	0	1	0	-0.2369	0	178	14	5.5
chr21	9825472	0	1	0	1	0	-0.1663	0	179	15	7.5
chr21	9825490	0	1	0	1	0	0.1649	0	180	14	5.5
chr21	9825491	0.1	0.9	0	0.9	0	-0.4306	0	181	15	7.5
chr21	9825495	0.0667	0.9333	0	0.9333	0	-0.1788	0	182	14	5.5
chr21	9825496	0.0667	0.7333	0.2	0.7333	0	0.2127	0	183	15	7.5
chr21	9825498	0	1	0	1	0	-0.3523	0	184	14	5.5
chr21	9825499	0.1333	0.6333	0.2333	0.6333	0	0.0606	0	185	15	7.5
chr21	9825506	0.0667	0.9333	0	0.9333	0	0.0709	0	186	14	5.5
chr21	9825507	0	1	0	1	0	-0.3046	0	187	15	7.5
chr21	9825514	0	1	0	1	0	0	0	188	14	5.5
chr21	9825515	0.0333	0.9667	0	0.9667	0	-0.2791	0	189	15	7.5
chr21	9825612	0	1	0	1	0	-0.0325	0	190	43.25	44
chr21	9825613	0	1	0	1	0	-0.0547	0	191	48.25	51
chr21	9825620	0.0667	0.9	0.0333	0.9	0	0.1579	0	192	16	17.25
chr21	9825621	0.0333	0.8667	0.1	0.8667	0	0.1134	0	193	15.75	15.75
chr21	9825624	0.1667	0.6333	0.2	0.6333	0	0.1718	0	194	16	17.25
chr21	9825625	0.2333	0.7333	0.0333	0.7333	0	-0.2654	0	195	15.75	15.75
chr21	9825636	0	1	0	1	0	-0.0349	0	196	16	17.25
chr21	9825637	0.0333	0.9667	0	0.9667	0	0.1815	0	197	15.75	15.75
chr21	9825646	0	1	0	1	0	0.0621	0	198	16	17.25
chr21	9825647	0.0333	0.9333	0.0333	0.9333	0	-0.3261	0	199	15.75	15.75
chr21	9825652	0	1	0	1	0	0	0	200	16	17.25
chr21	9825653	0	0.5	0.5	0.5	1	0.6098	1	201	15.75	15.75
chr21	9825779	0.0333	0.9333	0.0333	0.9333	0	-0.1319	0	202	23.25	14.75
chr21	9825780	0	1	0	1	0	0	0	203	25	13.5
chr21	9825786	0.1	0.9	0	0.9	0	-0.0655	0	204	23.25	14.75
chr21	9825787	0	1	0	1	0	-0.4082	0	205	25	13.5
chr21	9825793	0	1	0	1	0	-0.3508	0	206	23.25	14.75
chr21	9825794	0	1	0	1	0	-0.0997	0	207	25	13.5
chr21	9825796	0	1	0	1	0	-0.0118	0	208	23.25	14.75
chr21	9825797	0.0333	0.8667	0.1	0.8667	0	0.5092	0	209	25	13.5
chr21	9825798	0	0.9333	0.0667	0.9333	0	0.3159	0	210	23.25	14.75
chr21	9825799	0	0.9667	0.0333	0.9667	0	0.1704	0	211	25	13.5
chr21	9825802	0	1	0	1	0	-0.4384	0	212	23.25	14.75
chr21	9825803	0	1	0	1	0	0.0236	0	213	25	13.5
chr21	9825814	0	1	0	1	0	0.0452	0	214	23.25	14.75
chr21	9825815	0	0.9667	0.0333	0.9667	0	-0.0575	0	215	25	13.5
chr21	9825820	0	1	0	1	0	0	0	216	23.25	14.75
chr21	9825821	0	1	0	1	0	-0.243	0	217	25	13.5
chr21	9825944	0	1	0	1	0	0.1445	0	218	17.75	18.5
chr21	9825945	0	1	0	1	0	0	0	219	19.25	22.75
chr21	9825950	0	1	0	1	0	-0.1295	0	220	17.75	18.5
chr21	9825951	0	0.9667	0.0333	0.9667	0	0.2401	0	221	19.25	22.75
chr21	9825954	0	1	0	1	0	-0.2144	0	222	17.75	18.5
chr21	9825955	0	1	0	1	0	-0.0411	0	223	19.25	22.75
chr21	9825958	0	1	0	1	0	-0.1235	0	224	17.75	18.5
chr21	9825959	0.1667	0.7333	0.1	0.7333	0	-0.0822	0	225	19.25	22.75
chr21	9825960	0	1	0	1	0	0.1094	0	226	17.75	18.5
chr21	9825961	0	0.9	0.1	0.9	0	0.393	0	227	19.25	22.75
chr21	9825964	0	1	0	1	0	0.048	0	228	17.75	18.5
chr21	9825965	0.0667	0.9333	0	0.9333	0	-0.3651	0	229	19.25	22.75
chr21	9825975	0.3333	0.6667	0	0.6667	0	-0.1866	0	230	17.75	18.5
chr21	9825976	0	0.6667	0.3333	0.6667	0	0.2253	0	231	19.25	22.75
chr21	9825980	0	1	0	1	0	-0.2498	0	232	17.75	18.5
chr21	9825981	0	1	0	1	0	0.1052	0	233	19.25	22.75
chr21	9825992	0	0.9333	0.0667	0.9333	0	-0.0198	0	234	17.75	18.5
chr21	9825993	0	1	0	1	0	-0.2738	0	235	19.25	22.75
chr21	9825995	0	1	0	1	0	-0.0104	0	236	17.75	18.5
chr21	9825996	0	1	0	1	0	0.0496	0	237	19.25	22.75
chr21	9826147	0	1	0	1	0	-0.0139	0	238	13	12
chr21	9826151	0	1	0	1	0	0.4394	0	239	13	12
chr21	9826154	0.0333	0.9667	0	0.9667	0	0.0935	0	240	13	12
chr21	9826157	0	1	0	1	0	-0.2614	0	241	13	12
chr21	9826160	0	0.9	0.1	0.9	0	0.0414	0	242	13	12
chr21	9826171	0	1	0	1	0	0.1569	0	243	13	12
chr21	9826180	0	1	0	1	0	0.2972	0	244	13	12
chr21	9826182	0	1	0	1	0	-0.3276	0	245	13	12
chr21	9826187	0	1	0	1	0	-0.3391	0	246	13	12
chr21	9826190	0	1	0	1	0	0.0114	0	247	13	12
chr21	9826195	0	1	0	1	0	-0.0253	0	248	13	12
chr21	9826199	0	1	0	1	0	0.0904	0	249	13	12
chr21	9826202	0.0667	0.9333	0	0.9333	0	-0.1249	0	250	13	12
chr21	9826204	0	1	0	1	0	0.2058	0	251	13	12
chr21	9826206	0	1	0	1	0	-0.2046	0	252	13	12
chr21	9826208	0	1	0	1	0	-0.4583	0	253	13	12
chr21	9826212	0.1	0.9	0	0.9	0	-0.1683	0	254	13	12
chr21	9826216	0	1	0	1	0	0.0806	0	255	13	12
chr21	9826220	0.0333	0.9667	0	0.9667	0	-0.3573	0	256	13	12
chr21	9826222	0	1	0	1	0	-0.0584	0	257	13	12
chr21	9826227	0	1	0	1	0	-0.1111	0	258	13	12
chr21	9826239	0	1	0	1	0	-0.3485	0	259	8	19.25
chr21	9826240	0	1	0	1	0	0	0	260	8.75	18.5
chr21	9826247	0	1	0	1	0	-0.1765	0	261	8	19.25
chr21	9826248	0.0333	0.8333	0.1333	0.8333	0	0.3412	0	262	8.75	18.5
chr21	9826251	0.0333	0.9667	0	0.9667	0	-0.2639	0	263	8	19.25
chr21	9826252	0.0333	0.9667	0	0.9667	0	0.2133	0	264	8.75	18.5
chr21	9826255	0.0333	0.9667	0	0.9667	0	0.1199	0	265	8	19.25
chr21	9826256	0	0.2333	0.7667	0.7667	1	0.7095	1	266	8.75	18.5
chr21	9826258	0	1	0	1	0	0.3838	0	267	8	19.25
chr21	9826259	0	0.9667	0.0333	0.9667	0	0.2425	0	268	8.75	18.5
chr21	9826265	0	1	0	1	0	0.1	0	269	8	19.25
chr21	9826266	0.0333	0.9333	0.0333	0.9333	0	-0.1906	0	270	8.75	18.5
chr21	9826272	0	0.9667	0.0333	0.9667	0	0.3776	0	271	8	19.25
chr21	9826273	0.0333	0.9667	0	0.9667	0	0.0031	0	272	8.75	18.5
chr21	9826279	0	1	0	1	0	-0.1734	0	273	8	19.25
chr21	9826280	0	0.9333	0.0667	0.9333	0	0.1371	0	274	8.75	18.5
chr21	9826287	0	1	0	1	0	0	0	275	8	19.25
chr21	9826288	0	1	0	1	0	-0.0545	0	276	8.75	18.5
chr21	9826386	0.0333	0.9667	0	0.9667	0	9e-04	0	277	15.5	12.25
chr21	9826387	0	1	0	1	0	0	0	278	14.5	12.75
chr21	9826392	0	1	0	1	0	-0.0158	0	279	15.5	12.25
chr21	9826393	0	1	0	1	0	0.0719	0	280	14.5	12.75
chr21	9826396	0.0333	0.9667	0	0.9667	0	-0.1627	0	281	15.5	12.25
chr21	9826397	0	1	0	1	0	-0.0076	0	282	14.5	12.75
chr21	9826411	0.0667	0.9	0.0333	0.9	0	-0.2356	0	283	15.5	12.25
chr21	9826412	0	0.5333	0.4667	0.5333	0	0.4795	0	284	14.5	12.75
chr21	9826414	0.0667	0.7333	0.2	0.7333	0	0.1541	0	285	15.5	12.25
chr21	9826415	0	0.5667	0.4333	0.5667	0	0.4916	0	286	14.5	12.75
chr21	9826421	0.0333	0.7667	0.2	0.7667	0	0.3472	0	287	15.5	12.25
chr21	9826422	0	1	0	1	0	-0.1711	0	288	14.5	12.75
chr21	9826436	0	1	0	1	0	-0.1553	0	289	15.5	12.25
chr21	9826437	0	1	0	1	0	-0.544	0	290	14.5	12.75
chr21	9826440	0	1	0	1	0	0.1012	0	291	15.5	12.25
chr21	9826441	0	1	0	1	0	-0.0042	0	292	14.5	12.75
chr21	9826442	0	1	0	1	0	-0.1622	0	293	15.5	12.25
chr21	9826443	0	1	0	1	0	-0.3658	0	294	14.5	12.75
chr21	9826446	0	1	0	1	0	0.192	0	295	15.5	12.25
chr21	9826447	0	1	0	1	0	-0.1875	0	296	14.5	12.75
chr21	9826449	0	1	0	1	0	0	0	297	15.5	12.25
chr21	9826450	0	1	0	1	0	-0.1393	0	298	14.5	12.75
chr21	9826577	0	0.8667	0.1333	0.8667	0	0.2308	0	299	15.5	9.5
chr21	9826578	0	1	0	1	0	0	0	300	21.5	9.5
chr21	9826581	0	0.9333	0.0667	0.9333	0	-0.0689	0	301	15.5	9.5
chr21	9826582	0	1	0	1	0	-0.2574	0	302	21.5	9.5
chr21	9826584	0.0333	0.8667	0.1	0.8667	0	0.2056	0	303	15.5	9.5
chr21	9826585	0	0.9333	0.0667	0.9333	0	0.4968	0	304	21.5	9.5
chr21	9826590	0	1	0	1	0	-0.0521	0	305	15.5	9.5
chr21	9826591	0	1	0	1	0	-0.2608	0	306	21.5	9.5
chr21	9826595	0	1	0	1	0	0.0794	0	307	15.5	9.5
chr21	9826596	0	0.9667	0.0333	0.9667	0	0.2351	0	308	21.5	9.5
chr21	9826597	0	0.8667	0.1333	0.8667	0	0.2885	0	309	15.5	9.5
chr21	9826598	0.0333	0.9667	0	0.9667	0	-0.0418	0	310	21.5	9.5
chr21	9826602	0.0333	0.8333	0.1333	0.8333	0	0.1634	0	311	15.5	9.5
chr21	9826603	0.0667	0.8667	0.0667	0.8667	0	-3e-04	0	312	21.5	9.5
chr21	9826606	0	1	0	1	0	0.1632	0	313	15.5	9.5
chr21	9826607	0.2333	0.7	0.0667	0.7	0	-0.4114	0	314	21.5	9.5
chr21	9826611	0	1	0	1	0	0.2188	0	315	15.5	9.5
chr21	9826612	0	1	0	1	0	0.3283	0	316	21.5	9.5
chr21	9826614	0.1333	0.8667	0	0.8667	0	-0.5616	0	317	15.5	9.5
chr21	9826615	0	1	0	1	0	0.498	0	318	21.5	9.5
chr21	9826620	0	1	0	1	0	-0.0613	0	319	15.5	9.5
chr21	9826621	0	1	0	1	0	0.2095	0	320	21.5	9.5
chr21	9826625	0	1	0	1	0	-0.1354	0	321	15.5	9.5
chr21	9826626	0	1	0	1	0	-0.1824	0	322	21.5	9.5
chr21	9826628	0	1	0	1	0	-0.0583	0	323	15.5	9.5
chr21	9826629	0	1	0	1	0	0.0999	0	324	21.5	9.5
chr21	9826631	0	1	0	1	0	-0.2635	0	325	15.5	9.5
chr21	9826632	0	1	0	1	0	0.0905	0	326	21.5	9.5
chr21	9826635	0	0.9667	0.0333	0.9667	0	0.1199	0	327	15.5	9.5
chr21	9826636	0	0.1	0.9	0.9	1	0.6623	1	328	21.5	9.5
chr21	9826637	0.1	0.1	0.8	0.8	1	0.3543	1	329	15.5	9.5
chr21	9826638	0.4333	0.5333	0.0333	0.5333	0	-0.1937	0	330	21.5	9.5
chr21	9826641	0.1	0.6	0.3	0.6	0	0.0181	0	331	15.5	9.5
chr21	9826642	0.0667	0.4667	0.4667	0.4667	0	0.3075	0	332	21.5	9.5
chr21	9826644	0	1	0	1	0	0	0	333	15.5	9.5
chr21	9826645	0	1	0	1	0	0.1375	0	334	21.5	9.5
chr21	9826688	0	0.9667	0.0333	0.9667	0	0.1653	0	335	13.25	13.75
chr21	9826689	0	1	0	1	0	-0.0119	0	336	16.25	14.5
chr21	9826692	0.1	0.9	0	0.9	0	-0.0868	0	337	13.25	13.75
chr21	9826693	0	0.9667	0.0333	0.9667	0	0.1467	0	338	16.25	14.5
chr21	9826694	0	0.8	0.2	0.8	0	0.3167	0	339	13.25	13.75
chr21	9826695	0	1	0	1	0	-0.1028	0	340	16.25	14.5
chr21	9826699	0	1	0	1	0	-0.2303	0	341	13.25	13.75
chr21	9826700	0.0333	0.9667	0	0.9667	0	-0.0438	0	342	16.25	14.5
chr21	9826704	0	1	0	1	0	0.2096	0	343	13.25	13.75
chr21	9826705	0.0333	0.9667	0	0.9667	0	-0.0787	0	344	16.25	14.5
chr21	9826708	0	1	0	1	0	-0.425	0	345	13.25	13.75
chr21	9826709	0	0.9333	0.0667	0.9333	0	0.4085	0	346	16.25	14.5
